itemid	abstractid	name	品质	icon	icon灰	类型	叠加数量	物品描述	等级	商店价格	回收价格	回购价格	姓名	国家	将卡类型	picture	升级材料	升级材料数量	升级材料magicid	升级所得物品	升级价格	人物等级	脚本	miniicon	委任技能icon	最高倍率	通告	TAB_VERSION
6106		征战宝箱	0	T_Icon_ItemBox_YinZhi.img		4	20	打开获得1000征战券，可在征战商店中购买兵符	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6107		征战宝箱	1	T_Icon_ItemBox_YinZhi.img		4	20	打开获得2000征战券，可在征战商店中购买兵符	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6108		征战宝箱	2	T_Icon_ItemBox_YinZhi.img		4	20	打开获得3000征战券，可在征战商店中购买兵符	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6109		征战宝箱	3	T_Icon_ItemBox_YinZhi.img		4	20	打开获得5000征战券，可在征战商店中购买兵符	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6110		征战宝箱	4	T_Icon_ItemBox_YinZhi.img		4	20	打开获得7000征战券，可在征战商店中购买兵符	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6111		征战宝箱	5	T_Icon_ItemBox_YinZhi.img		4	20	打开获得9000征战券，可在征战商店中购买兵符	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6112		世界宝箱	3	T_Icon_ItemBox_JingTie.img		4	20	随机获得各种资源和高级道具	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6113		残破宝箱	2	T_Icon_ItemBox_White.img		4	20	随机获得各种资源	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6114		紫檀宝箱	3	T_Icon_ItemBox_Violet.img		4	20	随机获得各种资源	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6115		精英宝箱	2	T_Icon_ItemBox_YinZhi.img		4	20	随机获得各种资源	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6116		将魂宝箱	1	T_Icon_ItemBox_Orange.img		4	20	打开获得800将魂，可在酒肆兑换将卡界面兑换任意将卡	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6117		将魂宝箱	2	T_Icon_ItemBox_Orange.img		4	20	打开获得3200将魂，可在酒肆兑换将卡界面兑换任意将卡	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6118		国家贡献宝箱	2	T_Icon_ItemBox_HuangJin.img		4	20	打开获得10000国家贡献，可在国家界面中的国家商店里购买田契装备图纸等物品	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6119		国家贡献宝箱	3	T_Icon_ItemBox_HuangJin.img		4	20	打开获得50000国家贡献，可在国家界面中的国家商店里购买田契装备图纸等物品	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6120		军团贡献宝箱	1	T_Icon_ItemBox_JingTie.img		4	20	打开获得10000军团贡献，可在军团商店里购买相应物品(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6121		军团贡献宝箱	2	T_Icon_ItemBox_JingTie.img		4	20	打开获得50000军团贡献，可在军团商店里购买相应物品(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6122		军团贡献宝箱	3	T_Icon_ItemBox_JingTie.img		4	20	打开获得100000军团贡献，可在军团商店里购买相应物品(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6123		军团贡献宝箱	4	T_Icon_ItemBox_JingTie.img		4	20	打开获得200000军团贡献，可在军团商店里购买相应物品(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6124		功勋宝箱	3	T_Icon_ItemBox_YinZhi.img		4	20	打开获得5000点功勋	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6125		功勋宝箱	4	T_Icon_ItemBox_YinZhi.img		4	20	打开获得10000点功勋	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6126		新春橙卡宝箱	4	T_Icon_ItemBox_YinZhi.img		4	20	根据所属势力，打开可100%获得新将卡甄姬（魏）、黄月英（蜀）、丁奉（吴）三张1星橙卡之一(可右键使用)	1	0	0	0											item/B_TreasureShiliChest.cfg			8	0	
6127		成就积分宝箱	3	T_Icon_ItemBox_YinZhi.img		4	20	打开获得5000成就积分，可在成就商店购买相应物品（可右键使用）	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6128		成就积分宝箱	3	T_Icon_ItemBox_YinZhi.img		4	20	打开获得500成就积分，可在成就商店购买相应物品（可右键使用）	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6130		契约包（低）	3	UI_Prop_ruyibaozangdai.img		4	20	内含5种低级契约各1个	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6131		契约包（高）	4	UI_Prop_ruyibaozangdai.img		4	20	使用后可获得5种高级契约各1张	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6132		资源加成卡包	2	UI_Prop_ruyibaozangdai.img		4	20	内含4种资源加成卡各5张	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6133		初等兵符体验卡	2	UI_Prop_bingzhongtiyanka.img		4	20	手挽大戟，身穿玄甲，战场上进退自如，所向披靡。使用后，可获得铁甲军500名，提前体验铁甲军的风采	1	0	0	0											item/B_TroopsPack.cfg			8	0	
6134		将卡体验包（紫）	3	UI_Prop_ruyibaozangdai.img		4	20	使用后可获得一名紫色品质的三国猛将作为您的护主将卡	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6135		装备切页符	3	UI_prop_zhuanbeiqieye.img		4	20	使用后可增加1个装备切换位	1	0	10000	10000											item/B_ZhuangBeiQieYeFu.cfg			8	0	
6136		编队序列符	3	UI_props_bianduixulei.img		4	20	使用后可增加1个编队位	1	0	10000	10000											item/B_BianDuiXuLieFu.cfg			8	0	
6137		战场犒赏符	3	UI_prop_zhanchangkaoshanka.img		4	20	使用后，角色在战场中进行战场犒赏操作不再消耗元宝，效果持续2个小时	1	0	10000	10000											item/B_KaoShangFu.cfg			8	0	
6139		资源加成包（大）	3	UI_Prop_ruyibaozangdai.img		4	20	使用后可获得4种资源加成卡（橙色品质）各2张	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6140		材料包	3	UI_Prop_ruyibaozangdai.img		4	20	使用后，可获得 生铁200份、玄铁20份	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6141		高等兵符体验卡	3	UI_Prop_bingzhongtiyanka.img		4	20	双曲大弩，非臂力过人者不能打开。使用后，可获得先登强弩1000名，提前体验先登强弩的风采	1	0	0	0											item/B_TroopsPack.cfg			8	0	
6142		将卡体验包（紫）	3	UI_Prop_ruyibaozangdai.img		4	20	使用后可获得一名紫色品质的三国猛将作为您的护主将卡	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6143		如意藏宝袋	4	T_Icon_Task_Gifts.img		4	20	如意如意随我心意。开启后有几率获得橙卡、高级八卦石、大量铜钱、升星材料等	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6144		一星将卡材料包	4	T_Icon_ItemBox_Orange.img		4	20	打开后获得橙卡升级1星的全部材料	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6145		二星将卡材料包	4	T_Icon_ItemBox_Orange.img		4	20	包含一张橙卡由1星升至2星的全部材料	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6146		三星将卡材料包	4	T_Icon_ItemBox_Orange.img		4	20	包含一张橙卡由2星升至3星的全部材料	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6147		测试专用海量资源礼包	4	T_Icon_ItemBox_Orange.img		4	20	测试专用海量资源礼包	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6148		测试专用快速升级礼包	4	T_Icon_ItemBox_Orange.img		4	20	测试专用快速升级礼包	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6149		测试专用功能道具礼包	4	T_Icon_ItemBox_Orange.img		4	20	测试专用功能道具礼包	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6150		一级兵符宝箱	1	T_Icon_ItemBox_Green.img		4	20	打开随机获得一个白色一级兵符	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6151		一级兵符宝箱	2	T_Icon_ItemBox_Blue.img		4	20	打开随机获得一个蓝色一级兵符	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6152		二级兵符宝箱	2	T_Icon_ItemBox_Blue.img		4	20	打开随机获得一个蓝色二级兵符	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6153		二级兵符宝箱	3	T_Icon_ItemBox_Violet.img		4	20	打开随机获得一个紫色二级兵符	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6154		三级步兵宝箱	3	T_Icon_ItemBox_Violet.img		4	20	打开随机获得一个三级步兵兵符	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6155		三级弓兵宝箱	3	T_Icon_ItemBox_Violet.img		4	20	打开随机获得一个三级弓兵兵符	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6156		三级骑兵宝箱	3	T_Icon_ItemBox_Violet.img		4	20	打开随机获得一个三级骑兵兵符	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6157		三级器械宝箱	3	T_Icon_ItemBox_Violet.img		4	20	打开随机获得一个三级器械兵符	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6158		四级兵符宝箱	4	T_Icon_ItemBox_HuangJin.img		4	20	打开随机获得一个四级兵种兵符	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6159		五级兵符宝箱	4	T_Icon_ItemBox_HuangJin.img		4	20	打开随机获得一个五级兵种兵符	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6160		五级步兵宝箱	4	T_Icon_ItemBox_HuangJin.img		4	20	打开随机获得一个五级步兵兵符	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6161		五级骑兵宝箱	4	T_Icon_ItemBox_HuangJin.img		4	20	打开随机获得一个五级骑兵兵符	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6162		五级弓兵宝箱	4	T_Icon_ItemBox_HuangJin.img		4	20	打开随机获得一个五级弓兵兵符	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6163		五级器械宝箱	4	T_Icon_ItemBox_HuangJin.img		4	20	打开随机获得一个五级器械兵符	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6164		四星将卡材料包	4	T_Icon_ItemBox_HuangJin.img		4	20	包含一张橙卡由3星升至4星的全部材料	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6165		五星将卡材料包	4	T_Icon_ItemBox_HuangJin.img		4	20	包含一张橙卡由4星升至5星的全部材料	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6201		vip礼金宝箱	2	T_Icon_Package_TongQianBao_G.img		4	20	打开可获得10礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6202		vip礼金宝箱	2	T_Icon_Package_TongQianBao_G.img		4	20	打开可获得50礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6203		vip礼金宝箱	2	T_Icon_Package_TongQianBao_G.img		4	20	打开可获得100礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6204		vip礼金宝箱	2	T_Icon_Package_TongQianBao_G.img		4	20	打开可获得200礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6205		vip礼金宝箱	2	T_Icon_Package_TongQianBao_G.img		4	20	打开可获得500礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6206		vip礼金宝箱	2	T_Icon_Package_TongQianBao_G.img		4	20	打开可获得1000礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6207		vip礼金宝箱	2	T_Icon_Package_TongQianBao_G.img		4	20	打开可获得1500礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6208		vip礼金宝箱	2	T_Icon_Package_TongQianBao_G.img		4	20	打开可获得2000礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6209		vip礼金宝箱	2	T_Icon_Package_TongQianBao_G.img		4	20	打开可获得3000礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6210		vip礼金宝箱	2	T_Icon_Package_TongQianBao_G.img		4	20	打开可获得5000礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6211		vip礼金宝箱	2	T_Icon_Package_TongQianBao_G.img		4	20	打开可获得7000礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6212		vip礼金宝箱	2	T_Icon_Package_TongQianBao_G.img		4	20	打开可获得10000礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6213		vip礼金宝箱	2	T_Icon_Package_TongQianBao_G.img		4	20	打开可获得20000礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6214		vip礼金宝箱	2	T_Icon_Package_TongQianBao_G.img		4	20	打开可获得50000礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6215		vip礼金宝箱	2	T_Icon_Package_TongQianBao_G.img		4	20	打开可获得100000礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6216		仙人宝箱	4	T_Icon_ItemBox_YinZhi.img		4	20	打开可获得群雄一星将卡左慈/n技能：出神入化，仙人变幻，可幻化出分身，升星可幻化出2个更加强大的分身/n（唯一获取来源）	1	0	0	0											item/B_TreasureChest.cfg			8	-1	
6217		御守宝箱	4	T_Icon_ItemBox_YinZhi.img		4	20	打开可获得群雄橙色将卡审配，技能：可设置一个短暂存在的据点(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6218		冬日天卡宝箱	4	T_Icon_ItemBox_YinZhi.img		4	20	根据所属势力，打开可100%获得新将卡乐进（魏）、马岱（蜀）、徐盛（吴）三张1星橙卡之一(可右键使用)	1	0	0	0											item/B_TreasureShiliChest.cfg			8	0	
6219		冬日地卡宝箱	4	T_Icon_ItemBox_YinZhi.img		4	20	根据所属势力，打开可100%获得新将卡曹彰（魏）、刘封（蜀）、蒋钦（吴）三张1星橙卡之一(可右键使用)	1	0	0	0											item/B_TreasureShiliChest.cfg			8	0	
6220		仁心宝箱	4	T_Icon_ItemBox_YinZhi.img		4	20	打开可获得群雄一星将卡华佗	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6221		地星宝箱	4	T_Icon_ItemBox_YinZhi.img		4	20	打开可获得群雄一星将卡童渊	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6600		在线奖励宝箱	3	T_Icon_ItemBox_Violet.img		4	20	打开获得15000铜钱(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6700		新兵战力大礼包	2	UI_Prop_xinbingzhanlidali.img		4	1	开启需消耗1元宝。内含：丰收卡、繁茂卡、采金卡、精料卡（蓝色）各一张，征募符*1、匠造牌*1，铜钱1w，3级兵符*1。	1	0	100	100											item/B_TreasureChest.cfg			8	-1	
6701		新兵礼金包	2	UI_Prop_xinbinglijing.img		4	1	消耗1元宝开启，共计可开启4次。分别可获得 20、30、50、100礼金。冷却时间12小时	1	0	100	100											item/B_TreasureChest.cfg			8	0	
6702		新兵礼金包	2	UI_Prop_xinbinglijing.img		4	1	消耗1元宝开启，共计可开启4次。分别可获得 20、30、50、100礼金。冷却时间12小时	1	0	100	100											item/B_TreasureChest.cfg			8	0	
6703		新兵礼金包	2	UI_Prop_xinbinglijing.img		4	1	消耗1元宝开启，共计可开启4次。分别可获得 20、30、50、100礼金。冷却时间12小时	1	0	100	100											item/B_TreasureChest.cfg			8	0	
6704		新兵礼金包	2	UI_Prop_xinbinglijing.img		4	1	消耗1元宝开启，共计可开启4次。分别可获得 20、30、50、100礼金。冷却时间12小时	1	0	100	100											item/B_TreasureChest.cfg			8	0	
6705		新兵资源包	2	UI_Prop_xinbingzhiyuan.img		4	20	开启需消耗100元宝。内含：丰收卡、繁茂卡、采金卡、精料卡（橙色）各一张，征募符*2，匠造牌*2。	1	0	100	100											item/B_TreasureChest.cfg			8	0	
6706		新兵契约包	2	UI_Prop_xinbingqiyue.img		4	20	开启需消耗100元宝。内含：高级田、地，林、矿、牧契各1张。	1	0	100	100											item/B_TreasureChest.cfg			8	0	
6707		建国奖励包	3	UI_Prop_ruyijinnan.img		4	20	内含：鹤氅、新兵战力大礼包、新兵资源包、新兵契约包 。	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6708		高级国战宝箱	4	T_Icon_ItemBox_ShenMi.img		4	20	开启需消耗100元宝。打开随机获得高级资源卡，至尊精炼石，高级八卦石，精炼锁，征募令，匠造牌，50W铜钱，5折精炼符	1	0	1000	1000											item/B_TreasureChest.cfg			8	0	
6709		至尊国战宝箱	5	T_Icon_ItemBox_ShenMi.img		4	20	开启需消耗500元宝。打开随机获得至尊精炼石，高级八卦石，精炼锁，满仓令，1折精炼符，200W铜钱	1	0	5000	5000											item/B_TreasureChest.cfg			8	0	
6750		VIP每日礼包	3	UI_Prop_ruyijinnan.img		4	20	每日可领取一次。打开可获得礼金、铜币和八卦石宝箱。VIP等级达到4、7、11级时奖励更加丰富。	1	0	0	0											item/B_TreasureVipChest.cfg			8	0	
6751		VIP每周礼包	4	UI_Prop_ruyijinnan.img		4	20	每周可领取一次。打开可获得礼金、铜币和八卦石宝箱。VIP等级达到4、7、11级时奖励更加丰富。	1	0	0	0											item/B_TreasureVipChest.cfg			8	0	
6758		征战天下礼包（10次）	0	T_Icon_Package_TongQianBao_W.img		4	20	征战天下挑战大礼	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6759		征战天下礼包（30次）	1	T_Icon_Package_TongQianBao_G.img		4	20	征战天下挑战大礼	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6760		征战天下礼包（50次）	2	T_Icon_Package_TongQianBao_B.img		4	20	征战天下挑战大礼	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6761		征战天下礼包（60次）	3	T_Icon_Package_TongQianBao_P.img		4	20	征战天下挑战大礼	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6762		征战天下礼包（70次）	4	T_Icon_Package_TongQianBao_O.img		4	20	征战天下挑战大礼	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6764		攻城掠地大礼包	2	T_Icon_Package_TongQianBao_B.img		4	20	内含：高级八卦石宝箱*3、中级八卦石宝箱*5、低级八卦石宝箱*10。	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6765		血战沙场大礼包	2	T_Icon_Package_TongQianBao_B.img		4	20	内含：5级兵符*1、4级兵符*2、3级兵符*5。	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6766		视死如归大礼包	2	T_Icon_Package_TongQianBao_B.img		4	20	内含：5级兵符*1、4级兵符*2、3级兵符*5。	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6767		名将之路挑战礼包	2	T_Icon_Package_TongQianBao_B.img		4	20	名将之路挑战大礼。内含：养魂玉*5、受命圭*5、御神佩*5	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6768		礼金宝箱	2	UI_Prop_ruyijinnan.img		4	99	内含25游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6769		礼金宝箱	2	UI_Prop_ruyijinnan.img		4	99	内含125游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6770		礼金宝箱	3	UI_Prop_ruyijinnan.img		4	99	内含250游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6771		礼金宝箱	4	UI_Prop_ruyijinnan.img		4	99	内含750游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6772		幸运礼金宝箱	3	UI_Prop_ruyijinnan.img		4	99	打开随机获得10-100游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6773		三国猛士卡（紫）	3	UI_Prop_bingzhongtiyanka.img		4	99	打开可获得紫色将卡一张(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	-1	
6774		三国猛士卡（橙）	4	UI_Prop_bingzhongtiyanka.img		4	99	打开可获得橙色将卡一张(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	-1	
6775		铜钱包	1	UI_Prop_xinbingqiyue.img		4	99	使用后获得1000铜钱(可右键使用)	1	0	0	0											item/B_ResPack.cfg			8	0	
6776		铜钱包	2	UI_Prop_xinbingqiyue.img		4	99	使用后获得4000铜钱(可右键使用)	1	0	0	0											item/B_ResPack.cfg			8	0	
6777		铜钱包	3	UI_Prop_xinbingqiyue.img		4	99	使用后获得5000铜钱(可右键使用)	1	0	0	0											item/B_ResPack.cfg			8	0	
6778		铜钱包	3	UI_Prop_xinbingqiyue.img		4	99	使用后获得10000铜钱(可右键使用)	1	0	0	0											item/B_ResPack.cfg			8	0	
6779		铜钱包	4	UI_Prop_xinbingqiyue.img		4	99	使用后获得30000铜钱(可右键使用)	1	0	0	0											item/B_ResPack.cfg			8	0	
6780		礼金宝箱	2	UI_Prop_ruyijinnan.img		4	99	内含20游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6781		礼金宝箱	2	UI_Prop_ruyijinnan.img		4	99	内含80游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6782		礼金宝箱	3	UI_Prop_ruyijinnan.img		4	99	内含100游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6783		礼金宝箱	4	UI_Prop_ruyijinnan.img		4	99	内含200游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6784		礼金宝箱	4	UI_Prop_ruyijinnan.img		4	99	内含600游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6785		VIP限时返利宝箱	2	UI_Prop_ruyijinnan.img		4	99	内含10游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6786		VIP限时返利宝箱	2	UI_Prop_ruyijinnan.img		4	99	内含50游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6787		VIP限时返利宝箱	2	UI_Prop_ruyijinnan.img		4	99	内含100游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6788		VIP限时返利宝箱	3	UI_Prop_ruyijinnan.img		4	99	内含200游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6789		VIP限时返利宝箱	3	UI_Prop_ruyijinnan.img		4	99	内含500游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6790		VIP限时返利宝箱	3	UI_Prop_ruyijinnan.img		4	99	内含1000游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6791		VIP限时返利宝箱	4	UI_Prop_ruyijinnan.img		4	99	内含1500游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6792		VIP限时返利宝箱	4	UI_Prop_ruyijinnan.img		4	99	内含2000游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6793		VIP限时返利宝箱	4	UI_Prop_ruyijinnan.img		4	99	内含3000游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6794		VIP限时返利宝箱	4	UI_Prop_ruyijinnan.img		4	99	内含5000游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6795		VIP限时返利宝箱	4	UI_Prop_ruyijinnan.img		4	99	内含7000游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6796		VIP限时返利宝箱	4	UI_Prop_ruyijinnan.img		4	99	内含10000游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6797		VIP限时返利宝箱	4	UI_Prop_ruyijinnan.img		4	99	内含20000游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6798		VIP限时返利宝箱	4	UI_Prop_ruyijinnan.img		4	99	内含50000游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6799		VIP限时返利宝箱	4	UI_Prop_ruyijinnan.img		4	99	内含100000游戏礼金(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6800		新手礼包（5级）	4	UI_Prop_ruyijinnan.img		4	1	内含：资源X4W、铜钱X5000、礼金X20、新手礼包（10级）	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6801		新手礼包（10级）	4	UI_Prop_ruyijinnan.img		4	1	内含：资源X4W、礼金X50、新手礼包（20级）	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6802		新手礼包（20级）	4	UI_Prop_ruyijinnan.img		4	1	内含：资源X4W、礼金X50、军令X12点、新手礼包（30级）	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6803		新手礼包（30级）	4	UI_Prop_ruyijinnan.img		4	1	内含：低级八卦石宝箱X5、匠造牌X1、征募符X1、新手礼包（40级）	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6804		新手礼包（40级）	4	UI_Prop_ruyijinnan.img		4	1	内含：军令X24点、三国猛士卡（紫）X1、礼金X100、新手礼包（45级）	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6805		新手礼包（45级）	4	UI_Prop_ruyijinnan.img		4	1	内含：御神佩X2、受命圭X1、养魂玉X1、礼金X100、新手礼包（50级）	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6806		新手礼包（50级）	4	UI_Prop_ruyijinnan.img		4	1	内含：铜钱X20W、礼金X200、新手礼包（60级）	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6807		新手礼包（60级）	4	UI_Prop_ruyijinnan.img		4	1	内含：礼金X500、匠造牌X5、征募符X5	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6808		资源宝箱	4	T_Icon_ItemBox_Violet.img		4	20	打开获得粮草、木材、铁矿、马匹各50w(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6809		资源宝箱	4	T_Icon_ItemBox_Violet.img		4	20	打开获得粮草、木材、铁矿、马匹各60w(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6810		资源宝箱	4	T_Icon_ItemBox_Violet.img		4	20	打开获得粮草、木材、铁矿、马匹各70w(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6811		资源宝箱	4	T_Icon_ItemBox_Violet.img		4	20	打开获得粮草、木材、铁矿、马匹各80w(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6812		资源宝箱	4	T_Icon_ItemBox_Violet.img		4	20	打开获得粮草、木材、铁矿、马匹各90w(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6813		资源宝箱	4	T_Icon_ItemBox_Violet.img		4	20	打开获得粮草、木材、铁矿、马匹各100w(可右键使用)	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6814		军令福袋	4	T_Icon_Task_Gifts.img		4	10	打开可获得军令、礼金、橙将、高级兵等其中之一	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6815		资源福袋	4	T_Icon_Task_GiftsHunw.img		4	10	打开可获得资源、礼金、橙将、高级兵等其中之一	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6816		铜币福袋	4	UI_Prop_ruyijinnan.img		4	10	打开可获得铜币、礼金、橙将、高级兵等其中之一	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6817		八卦福袋	4	T_Icon_Task_GiftsZs.img		4	10	打开可获得八卦石、礼金、橙将、高级兵等其中之一	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6818		暴击88礼金福袋	4	T_Icon_Task_GiftsHunw.img		4	99	祝您好运！	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6819		暴击588礼金福袋	4	T_Icon_Task_GiftsHunw.img		4	99	祝您好运！	1	0	0	0											item/B_TreasureChest.cfg			8	0	
6820		暴击1888礼金福袋	4	T_Icon_Task_GiftsHunw.img		4	99	祝您好运！	1	0	0	0											item/B_TreasureChest.cfg			8	0	
