id	名字	兵种	视野	警戒	眼睛高度	HP	攻击力	护甲	护甲类型	法术抗性	移动速度	攻击速度	施法速度	半径	外形状态	attackid	暴击	格挡	闪避	潜行	反潜行	命中率	攻击动作	暴击动作	第二攻击	等级	积分系数	Icon
30113	蔡阳_友	2	25	45	4.1	300	50	80	0	0	9	0	0	"1,1,2"	0	22072	50	200	130	0	35	950	0.32	0.33		1	0.02	UI_Army_Zhongqi_N.img
30114	百姓	0	25	45	2.5	200	1	80	0	0	4	0	0	"0.7,0.7,1.75"	0	22012	50	0	50	0	35	950	0.34	0.48		1	0.02	UI_Army_Baixing.img
30115	王朗_友	2	25	45	4.1	300	50	80	0	0	9	0	0	"1,1,2"	0	22077	50	200	130	0	35	950	0.4	0.35		1	0.02	UI_Army_Zhongbu_N.img
30116	公孙度_友	2	25	45	5.5	300	50	80	0	0	9	0	0	"1.5,1.5,2"	0	22065	50	200	130	0	35	950	0.5	0.88		1	0.02	UI_Army_Tuqi_N.img
30117	陶谦_友	2	25	45	4.1	300	50	80	0	0	9	0	0	"1,1,2"	0	22087	50	200	130	0	35	950	0.4	0.51		1	0.02	UI_Army_Danyang_N.img
30118	吕布_友	2	25	45	5.5	300	50	80	0	0	9	0	0	"1.5,1.5,2.1"	0	22040	50	50	50	0	35	950	0.36	0.33		1	0.02	UI_Army_Hubao_N.img
30119	袁绍_友	2	25	45	4.1	300	50	80	0	0	9	0	0	"1,1,2"	0	22061	50	200	130	0	35	950	0.46	0.45		1	0.02	UI_Army_Jinwei_N.img
30120	张曼成_友	0	25	45	4.1	300	50	80	0	0	9	0	0	"1.5,1.5,2"	0	22043	50	0	50	0	35	950	0.34	0.48		1	0.02	UI_Army_HJBB_N.img
30121	虎豹骑_友	2	25	45	3.5	300	50	80	0	0	7	0	0	"1.25,1.25,1.75"	0	22023	170	100	50	0	35	950	0.36	0.33		1	0.02	UI_Army_Hubao_N.img
30122	轻骑兵_友	2	35	65	3.5	300	50	80	0	0	10	0	0	"1.25,1.25,1.75"	0	22018	50	0	50	0	35	950	0.37	0.4		1	0.02	UI_Army_Qingqi_N.img
30123	突骑兵_友	2	25	45	3.5	300	50	80	0	0	7	0	0	"1.25,1.25,1.75"	0	22020	50	0	50	0	35	1000	0.5	0.88		1	0.02	UI_Army_Tuqi_N.img
30124	弩兵_友	1	25	45	2.5	300	50	80	0	0	5	0	0	"0.7,0.7,1.75"	0	22008	100	0	50	0	35	1000	0.51	0.62		1	0.02	UI_Army_Nu_N.img
30125	鲍信_友	2	25	45	4.1	300	50	80	0	0	9	0	0	"1,1,2"	0	22084	50	200	130	0	35	950	0.51	0.62		1	0.02	UI_Army_Nu_N.img
30126	麹义_友	2	25	45	4.1	300	50	80	0	0	9	0	0	"1,1,2"	0	22062	50	200	130	0	35	950	0.47	0.56		1	0.02	UI_Army_Qiangnu_N.img
30200	黄巾步兵	0	10	45	2.5	300	50	80	0	0	6	0	0	"0.7,0.7,1.75"	0	22028	50	0	50	0	35	950	0.34	0.48		1	0.02	UI_Army_HJBB_N.img
31000	无当飞军	1	25	25	2.5	300	50	80	0	0	5	0	0	"0.7,0.7,1.75"	0	22005	50	0	50	0	35	950	0.67	0.79	0.38	1	0.02	UI_Army_Wudangfeijun_N.img
30300	黑山步兵_世界	0	10	45	2.5	300	10	100	0	0	6	0	0	"0.7,0.7,1.75"	0	22029	50	50	50	0	35	950	0.3	0.4		1	0.02	UI_Army_HSBB_N.img
30301	黑山弩兵_世界	1	10	45	2.5	300	10	100	0	0	5.5	0	0	"0.7,0.7,1.75"	0	22035	100	0	50	0	35	950	0.54	0.51		1	0.02	UI_Army_HSNB_N.img
30302	黄巾步兵_世界	0	10	45	2.5	300	10	100	0	0	6	0	0	"0.7,0.7,1.75"	0	22028	50	0	50	0	35	950	0.34	0.48		1	0.02	UI_Army_HJBB_N.img
30303	黄巾弓兵_世界	1	10	45	2.5	300	10	100	0	0	6	0	0	"0.7,0.7,1.75"	0	22034	50	0	50	0	35	950	0.71	0.77		1	0.02	UI_Army_HJGB_N.img
30304	蛮兵_世界	0	10	45	2.5	300	10	100	0	0	6	0	0	"0.7,0.7,1.75"	0	22030	250	50	50	0	35	950	0.44	0.45		1	0.02	UI_Army_MB_N.img
30400	黄巾骑兵boss_世界	2	15	45	5.5	300	20	520	0	520	11	0	0	"1.5,1.5,2"	0	22053	50	0	0	0	35	1000	0.37	0.37		1	0.02	UI_Army_HJQB_N.img
30401	黄巾弓手boss_世界	1	15	45	4.1	300	20	520	0	520	8	0	0	"1,1,2"	0	22034	50	0	0	0	35	1000	0.71	0.77		1	0.02	UI_Army_HJGB_N.img
30402	象兵boss_世界	2	15	45	6.5	300	20	520	0	520	9	0	0	"1,1,3.4"	0	22088	50	0	0	0	35	1000	0.51	0.63		1	0.02	UI_Army_Xiang_N.img
30403	蛮兵boss_世界	0	15	45	4.1	300	20	520	0	520	8	0	0	"1,1,3"	0	22030	50	0	0	0	35	1000	0.44	0.45		1	0.02	UI_Army_MB_N.img
30404	飞熊军boss_世界	2	15	45	5.5	300	20	520	0	520	11	0	0	"1,1,2"	0	22079	50	0	0	0	35	1000	0.45	0.37		1	0.02	UI_Army_FXJ_N.img
30405	黑山骑兵boss	2	15	45	5.5	300	20	520	0	520	10	0	0	"1.5,1.5,2"	0	22052	50	0	0	0	35	1000	0.37	0.4		1	0.02	UI_Army_HSQB_N.img
30406	黑山步兵boss_世界	0	15	45	4.1	300	20	520	0	520	8	0	0	"1,1,2"	0	22051	50	0	0	0	35	1000	0.3	0.4		1	0.02	UI_Army_HSBB_N.img
