id	名字	接壤1	接壤2	接壤3	接壤4	类型	默认势力	sceneid	时间	玩家数量	出生点数	开启人数	进场时间	郡名	收益类型	收益数量	特产类型	特产数量	buttonname	cityname	colormask	map	bordername	坐标	规模	colorsw	城防值	城池mask	城池等级	建国后等级	城池等级系数	平叛消耗军令	平叛铜钱奖励	平叛掉落id	叛乱兵种icon	攻方胜利条件	守方胜利条件	行政长官	称谓	说明	州ID	州名称	地形
5009	广陵	5010	18004			1	12	30039	1800	40	"0,1"	2	1620	广陵郡	5	33000	4	125000	MedianCity_Guangling	LocalName_GuangLing	CM_Guangling	UI_GK_Chenliu.img	Border_Guangling		1	TiaoMu_Guangling	200	sw_Area_Guangling	13|13|5|13	13|13|9|13	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	张超	太守	    西汉元狩三年（前120）改江都国置广陵国，治所在广陵。汉末讨董中的十八路诸侯中，第十一路诸侯，便是广陵太守张超。江东二张之张纮便是广陵人。	1003	徐州	平原
5010	海陵	5007	5009			0	12	40008	1800	40	"0,1"	1	1620	广陵郡	5	25000	1	200000	MedianCity_Hailing	LocalName_HaiLing	CM_Hailing	UI_GK_Ruxuwu.img	Border_Hailing		3	TiaoMu_Hailing	100	sw_Area_Hailing	12|12|5|12	12|12|9|12	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	击败敌方都尉	守住都尉	吕岱	都尉	    海陵因其地高阜而又傍海得名，其位于长江出海口，是优良的天然海港。东汉末年三国僵持时期，此处一直都是魏国防御吴国入侵的紧要之处。	1003	徐州	水域
6001	泰山	4005	6004			1	2	30040	1800	40	"0,1"	2	1620	泰山郡	5	42000	2	200000	MedianCity_Taishan	LocalName_TaiShan	CM_Taishan	UI_GK_Jinyang.img	Border_Taishan		0	TiaoMu_Taishan	100	sw_Area_Taishan	8|10|10|10	9|10|10|10	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	应劭	太守	    汉元狩元年（前122年），面对武帝屡屡削藩的逼迫，济北王将其领地内的泰山一带献给汉武帝，汉武帝以其地置泰山郡。臧霸救父截囚后，在此落草。	1006	兖州	山地
6002	东阿	3012	6003			1	2	30041	1800	40	"0,1"	2	1620	济北国	5	36000	3	200000	MedianCity_Donge	LocalName_DongE	CM_Donge	UI_GK_Xingyang.img	Border_Donge		0	TiaoMu_Donge	100	sw_Area_Donge	6|12|12|12	9|12|12|12	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	鲍信	相	    秦国分齐郡设置。是曹操谋士程昱的家乡，地势险要，易守难攻，吕布鲸吞兖州的计划就是程昱等人死守东平而坚持到了曹操从徐州归来而宣告失败。	1006	兖州	城郭
6003	东平	6002	6004	6006	6001	1	2	30042	1800	40	"0,1"	2	1620	东平国	5	39000	4	125000	MedianCity_Dongping	LocalName_DongPing	CM_Dongping	UI_GK_Puyang.img	Border_Dongping		0	TiaoMu_Dongping	100	sw_Area_Dongping	7|11|11|11	9|11|11|11	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	李瓒	相	    东平国，是汉朝的诸侯王封国之一，属于兖州的郡级行政区划，建立于东汉光武帝建武十五年，首封为光武帝子刘苍。著名谋士程昱就曾经任东平相。	1006	兖州	城郭
6004	任城	6007	6001	6003		1	2	30043	1800	40	"0,1"	2	1620	任城郡	5	42000	1	200000	MedianCity_Rencheng	LocalName_RenCheng	CM_Rencheng	UI_GK_Xingyang.img	Border_Rencheng		0	TiaoMu_Rencheng	100	sw_Area_Rencheng	8|10|10|10	9|10|10|10	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	郑遂	令	    西汉时任城县正式设县。到东汉时，将东平国的樊县、亢父、任城县等地合并为任城国，任城得到飞速的发展。，三国鼎立时期，魏国将其改为任城郡。	1006	兖州	城郭
6005	白马	3010	6006	9004		0	10	40009	1800	40	"0,1"	1	1620	东郡	5	25000	4	125000	MedianCity_Baima	LocalName_BaiMa	CM_Baima	UI_GK_Yijing.img	Border_Baima		3	TiaoMu_Baima	100	sw_Area_Baima	5|12|12|12	9|12|12|12	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	颜良	都尉	    白马原名滑县，周朝时曾是卫国都城。秦汉时期改名为白马。此地是官渡之战前期白马之围发生的地方，紧要关头关羽一刀斩杀了颜良，解了白马之围。	1006	兖州	城郭
6006	濮阳	6003	6005	6007		1	2	30044	1800	40	"0,1"	2	1620	东郡	5	36000	1	100000	MedianCity_Puyang	LocalName_PuYang	CM_Puyang	UI_GK_Puyang.img	Border_Puyang		1	TiaoMu_Puyang	200	sw_Area_Puyang	6|12|12|12	9|12|12|12	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	桥瑁	太守	    据传五帝之一的颛顼曾以此为都，所以原名帝丘。濮阳之名始于战国时期，因位于濮水之阳而得名。后来宋真宗时期著名的“檀渊之盟”也发生在这里。	1006	兖州	城郭
6007	定陶	6004	6006	6008		1	2	30045	1800	40	"0,1"	2	1620	济阴郡	5	39000	2	200000	MedianCity_Dingtao	LocalName_DingTao	CM_Dingtao	UI_GK_Shangyong.img	Border_Dingtao		1	TiaoMu_Dingtao	200	sw_Area_Dingtao	7|11|11|11	9|11|11|11	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	袁遗	太守	    定陶在西周时属梁国治下，西汉设立济阴郡，将治所定在定陶。此处是汉末曹操起兵反董卓之地，也是西楚霸王项羽的叔父项梁的埋骨之地。	1006	兖州	城郭
6008	陈留	6007	7009	9006		1	2	30046	1800	40	"0,1"	2	1620	陈留国	5	42000	3	200000	MedianCity_Chenliu	LocalName_ChenLiu	CM_Chenliu	UI_GK_Chenliu.img	Border_Chenliu		1	TiaoMu_Chenliu	200	sw_Area_Chenliu	8|10|10|10	9|10|10|10	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	张邈	相	    汉武帝设立的陈留郡，是曹操起兵的地方。这里还是蔡文姬和典韦的家乡。汉献帝被曹丕废后封为陈留王；曹魏末代皇帝曹奂，也被封为陈留王。	1006	兖州	平原
7001	许昌	7003	7004	9006		1	2	30047	1800	40	"0,1"	2	1620	颍川郡	5	45000	4	125000	MedianCity_Xuchang	LocalName_XuChang	CM_Xuchang	UI_GK_Xuchang.img	Border_Xuchang		1	TiaoMu_Xuchang	200	sw_Area_Xuchang	8|10|10|10	9|10|10|10	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	耿纪	太守	    颍川郡因颍水过境而得名。许昌原名许县，因为民间流传的箴言“汉因许而亡，魏因许而昌”，在东汉末年改名许昌。是东汉末年中央政权的首都。	1006	兖州	平原
7002	颖阴	7003	16001			1	2	30048	1800	40	"0,1"	2	1620	颍川郡	5	48000	1	200000	MedianCity_Yingyin	LocalName_YingYin	CM_Yingyin	UI_GK_Chaisang.img	Border_Yingyin		0	TiaoMu_Yingyin	100	sw_Area_Yingyin	8|9|9|9	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	单子春	令	    颖阴县历史悠久，源远流长，设置时间已经不可考。其境内文风鼎盛，人才辈出，包括王佐之才荀彧、鬼才郭嘉等曹魏的主要谋士，都是出自颍川。	1005	豫州	水域
7003	舞阳	7001	7002	7005		0	2	40010	1800	40	"0,1"	1	1620	颍川郡	5	25000	2	200000	MedianCity_Wuyang	LocalName_WuYang	CM_Wuyang	UI_GK_Yijing.img	Border_Wuyang		3	TiaoMu_Wuyang	100	sw_Area_Wuyang	8|9|9|9	9|9|9|9	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	张虎	都尉	    舞阳在夏朝时就已经因在舞水之北而得名。战国时为魏邑。西汉置县。刘邦曾将舞阳作为樊哙的封地。这里也是后来魏明帝给司马懿的封地。	1005	豫州	城郭
7004	陈	7001	7009			1	2	30049	1800	40	"0,1"	2	1620	陈郡	5	45000	3	200000	MedianCity_Chen	LocalName_Chen	CM_Chen	UI_GK_Xiaopei.img	Border_Chen		0	TiaoMu_Chen	100	sw_Area_Chen	8|9|9|9	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	胡轸	太守	    秦始置陈郡。汉初，属韩信之楚国，后除为郡。章帝章和二年（88年）改淮阳国为陈国。献帝建安二年陈国除为陈郡。另外，曹植最后便被封与此地。	1005	豫州	平原
7005	汝南	7003	7006	7007		1	2	30050	1800	40	"0,1"	2	1620	汝南郡	5	48000	1	200000	MedianCity_Runan	LocalName_RuNan	CM_Runan	UI_GK_Chenliu.img	Border_Runan		1	TiaoMu_Runan	200	sw_Area_Runan	8|9|9|9	9|9|9|9	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	孔伷	太守	    春秋时代设置汝南县，西汉设立了汝南郡。汝南世家底蕴丰厚，人口稠密，光武帝刘秀便以此崛起。对了，此处还是梁山伯与祝英台发生的地方。	1005	豫州	平原
7006	汝阴	7005	7008	18003		1	2	30051	1800	40	"0,1"	2	1620	汝南郡	5	45000	2	200000	MedianCity_Ruyin	LocalName_RuYin	CM_Ruyin	UI_GK_Jiangling.img	Border_Ruyin		0	TiaoMu_Ruyin	100	sw_Area_Ruyin	9|9|8|8	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	周昂	令	    汝阴于秦朝设县，其地处梁宋吴楚之冲，齐鲁汴洛之道，历来是兵家必争之地，南北商业要道，向来需要重兵把守。汉初名将夏侯婴就曾被封为汝阴侯。	1005	豫州	水域
7007	安阳	7005	7010	16003	16002	1	2	30052	1800	40	"0,1"	2	1620	汝南郡	5	51000	8	100	MedianCity_Anyang	LocalName_AnYang	CM_Anyang	UI_GK_Xingyang.img	Border_Anyang		1	TiaoMu_Anyang	200	sw_Area_Anyang	9|9|9|9	9|9|9|9	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	荀勖	令	    安阳襟带长淮，控扼陈蔡，东连三吴，南引荆汝。其同时与汝南、戈阳、博望、安昌四处相连，进可攻，退可守，乃兵家要冲之地，万万不容有失。	1005	豫州	城郭
7008	谯	7006	7009			1	2	30053	1800	40	"0,1"	2	1620	谯郡	5	45000	1	200000	MedianCity_Qiao	LocalName_Qiao	CM_Qiao	UI_GK_Xiangping.img	Border_Qiao		1	TiaoMu_Qiao	200	sw_Area_Qiao	8|8|8|8	8|8|8|8	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	史涣	太守	    东汉末年，曹操在称魏王后，将其家乡谯县周围武平、临睢等多个县扩入谯县境内，使其由县升为郡。此处也是曹魏名将夏侯惇、许褚的家乡。	1005	豫州	平原
7009	芒砀山	5002	6008	7004	7008	0	2	40011	1800	40	"0,1"	1	1620	梁国	5	25000	2	200000	MedianCity_Mangdangshan	LocalName_MangDangShan	CM_Mangdangshan	UI_GK_Mangdangshan.img	Border_Mangdangshan		3	TiaoMu_Mangdangshan	100	sw_Area_Mangdangshan	8|8|8|8	8|8|8|8	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	裴元绍	都尉	    历史悠久的芒砀山，位于谯通往彭城的必经之路，更可借此通往陈与陈留。此处是秦末陈胜埋骨之所，也是后来刘邦斩白蛇之地，	1005	豫州	山地
7010	弋阳	7007	7011			1	2	30054	1800	40	"0,1"	2	1620	弋阳郡	5	48000	3	200000	MedianCity_Yiyang	LocalName_YiYang	CM_Yiyang	UI_GK_Guiyang.img	Border_Yiyang		0	TiaoMu_Yiyang	100	sw_Area_Yiyang	9|9|8|8	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	荀正	太守	    东汉末年分汝南、江夏两地置弋阳郡。这里还是是战国四公子之一，春申君黄歇的故乡。	1005	豫州	山地
7011	西阳	7010	7012	16005	16012	0	2	40012	1800	40	"0,1"	1	1620	弋阳郡	5	25000	2	200000	MedianCity_Xiyang	LocalName_XiYang	CM_Xiyang	UI_GK_Yijing.img	Border_Xiyang		3	TiaoMu_Xiyang	100	sw_Area_Xiyang	9|9|8|8	9|9|9|9	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	刘详	都尉	    隶属于弋阳郡的西阳县，乃是南北通衢，东西要道，位置紧要。传说其境内有座范蠡孤堆，是范蠡与西施合葬之地。	1005	豫州	城郭
7012	安丰	7011	18002	18008		1	2	30055	1800	40	"0,1"	2	1620	安丰郡	5	45000	3	200000	MedianCity_Anfeng	LocalName_AnFeng	CM_Anfeng	UI_GK_Wu.img	Border_Anfeng		0	TiaoMu_Anfeng	100	sw_Area_Anfeng	10|10|8|10	10|10|8|10	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	王基	太守	    东汉末年，分庐江郡西北5个县置安丰郡。郡治原名安风，改名安丰以求和平丰收之意。	1005	豫州	水域
8001	乐平	3005	3007			1	2	30173	2400	40	"0,1"	2	2220	乐平郡	5	36000	1	100000	MedianCity_Leping	LocalName_LePing	CM_Leping	UI_GK_Jinyang.img	Border_Leping		0	TiaoMu_Leping	200	sw_Area_Leping	3|15|15|15	9|15|15|15	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	王博	太守	    东汉末年分上党郡设置乐平郡。虽属并州，却是冀州要冲之地，北接常山，南迎邯郸，曾为青州兵驻扎之地。	1000	并州	山地
8002	雁门	8003	8004			1	2	30057	1800	40	"0,1"	2	1620	雁门郡	5	39000	4	125000	MedianCity_Yanmen	LocalName_YanMen	CM_Yanmen	UI_GK_Ji.img	Border_Yanmen		0	TiaoMu_Yanmen	100	sw_Area_Yanmen	7|11|11|11	9|11|11|11	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	刘恢	太守	    战国时赵武灵王破楼烦后，在此地设郡。张飞鞭打督邮之后，桃园三兄弟曾来到这里投奔刘恢。	1000	并州	山地
8003	马邑	8002	8008	8009		0	2	40013	1800	40	"0,1"	1	1620	雁门郡	5	25000	4	125000	MedianCity_Mayi	LocalName_MaYi	CM_Mayi	UI_GK_Yijing.img	Border_Mayi		3	TiaoMu_Mayi	100	sw_Area_Mayi	8|10|10|8	9|10|10|10	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	於夫罗	都尉	    秦始皇的大将蒙恬在雁门关外北逐匈奴，围城养马，才造就了马邑之名，然后在汉武帝时候，“马邑之谋”揭开西汉王朝北伐匈奴的大幕。同时这里也是名将张辽的故乡。	1000	并州	城郭
8004	晋阳	8002	8005	8007		1	2	30058	1800	40	"0,1"	2	1620	太原郡	5	36000	1	200000	MedianCity_Jinyang	LocalName_JinYang	CM_Jinyang	UI_GK_Jinyang.img	Border_Jinyang		1	TiaoMu_Jinyang	200	sw_Area_Jinyang	8|12|12|12	9|12|12|12	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	丁原	太守	    战国初期曾经为赵国都城，秦庄襄王四年(公元前246)，秦始皇时为三十六郡之一。	1000	并州	山地
8005	上党	8004	8006			1	2	30059	1800	40	"0,1"	2	1620	上党郡	5	33000	3	200000	MedianCity_Shangdang	LocalName_ShangDang	CM_Shangdang	UI_GK_Anding.img	Border_Shangdang		1	TiaoMu_Shangdang	200	sw_Area_Shangdang	6|13|13|13	9|13|13|13	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	张扬	太守	    春秋时期晋国设立，韩赵魏三家分晋，都占有此地的一部分。秦始皇一同天下分三十六郡，上党郡便是其中之一。	1000	并州	山地
8006	壶关	3009	8005			0	2	40014	1800	40	"0,1"	1	1620	上党郡	5	25000	1	200000	MedianCity_Huguan	LocalName_HuGuan	CM_Huguan	UI_GK_Jiange.img	Border_Huguan		3	TiaoMu_Huguan	100	sw_Area_Huguan	5|13|13|5	9|13|13|13	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	击败敌方都尉	守住都尉	高干	都尉	    壶关因为山形险狭如壶口得名。传说在商周时期，这座关隘就已经坐落在这里。乐进、李典攻打高干时，高干退守此关。	1000	并州	山地
8007	西河	8004	8008	9001		1	2	30060	1800	40	"0,1"	2	1620	西河郡	5	39000	2	200000	MedianCity_Xihe	LocalName_XiHe	CM_Xihe	UI_GK_Chencang.img	Border_Xihe		0	TiaoMu_Xihe	100	sw_Area_Xihe	7|11|11|11	9|11|11|11	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	崔钧	太守	    汉武帝元朔四年(前125年)，分上郡北部而设西河郡，领三十六县。曹操曾经在其境内打败了袁尚。	1000	并州	城郭
8008	上郡	8003	8007			1	2	30061	1800	40	"0,1"	2	1620	上郡	5	42000	3	200000	MedianCity_Shangjun	LocalName_ShangJun	CM_Shangjun	UI_GK_Puyang.img	Border_Shangjun		0	TiaoMu_Shangjun	100	sw_Area_Shangjun	7|10|10|10	9|10|10|10	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	免乙	太守	    战国时期魏国所设立，后来献给秦国，是秦国最初设立的三十六郡之一，历史源远流长。	1000	并州	城郭
8009	定襄	8010	8003			1	2	30062	1800	40	"0,1"	2	1620	定襄郡	5	42000	4	150000	MedianCity_Dingxiang	LocalName_DingXiang	CM_Dingxiang	UI_GK_Chencang.img	Border_Dingxiang		0	TiaoMu_Dingxiang	100	sw_Area_Dingxiang	8|10|10|10	9|10|10|10	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	陈翔	太守	    西汉初年，从云中郡中分出十二个县设为定襄郡，作为反攻匈奴的第一站。	1000	并州	城郭
8010	云中	8009	8011			1	2	30063	1800	40	"0,1"	2	1620	云中郡	5	45000	4	150000	MedianCity_Yunzhong	LocalName_YunZhong	CM_Yunzhong	UI_GK_Wuwei.img	Border_Yunzhong		0	TiaoMu_Yunzhong	100	sw_Area_Yunzhong	9|9|9|9	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	鲜于琦	太守	    战国时期赵武灵王设置，极大加强了对北方少数民族的威慑力。	1000	并州	平原
8011	九原	8010	8012			1	2	30064	1800	40	"0,1"	2	1620	五原郡	5	45000	4	150000	MedianCity_Jiuyuan	LocalName_JiuYuan	CM_Jiuyuan	UI_GK_Guiyang.img	Border_Jiuyuan		0	TiaoMu_Jiuyuan	100	sw_Area_Jiuyuan	9|9|9|9	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	督瓒	太守	    汉武帝元朔二年(前127年)第一次设置，位于秦代设置的九原郡东部。	1000	并州	山地
8012	朔方	8011	12001			1	2	30065	1800	40	"0,1"	2	1620	朔方郡	5	45000	4	150000	MedianCity_Shuofang	LocalName_ShuoFang	CM_Shuofang	UI_GK_Wuwei.img	Border_Shuofang		1	TiaoMu_Shuofang	200	sw_Area_Shuofang	9|9|9|9	9|9|9|9	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	董援	太守	    原为楼烦古国所在，战国时期被赵国所灭。始皇灭六国时，为匈奴所占。汉武帝元朔二年（前127），卫青收复此地，设郡朔方以做屯田之用。	1000	并州	平原
9001	平阳	8007	9002	9003		1	10	30066	1800	40	"0,1"	2	1620	平阳郡	5	39000	1	200000	MedianCity_Pingyang	LocalName_PingYang	CM_Pingyang	UI_GK_Xingyang.img	Border_Pingyang		0	TiaoMu_Pingyang	100	sw_Area_Pingyang	7|11|11|11	9|11|11|11	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	张济	太守	    春秋时晋国设县的平阳县为平阳郡的郡治，东汉时从河东郡分离而出独立设郡。	1013	司州	城郭
9002	箕关	9001	9004			0	10	40015	1800	40	"0,1"	1	1620	河东郡	5	25000	2	200000	MedianCity_Jiguan	LocalName_JiGuan	CM_Jiguan	UI_GK_Jiange.img	Border_Jiguan		3	TiaoMu_Jiguan	100	sw_Area_Jiguan	6|10|10|10	9|10|10|10	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	击败敌方都尉	守住都尉	郭援	都尉	    箕关位于王屋山西部，河内与河东之间，乃两郡通衢，交通要道，献帝从长安出逃时便经过了这里。	1013	司州	山地
9003	河东	9001	10003			1	10	30067	1800	40	"0,1"	2	1620	河东郡	5	39000	1	200000	MedianCity_Hedong	LocalName_HeDong	CM_Hedong	UI_GK_Xiangping.img	Border_Hedong		0	TiaoMu_Hedong	100	sw_Area_Hedong	6|9|9|9	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	王匡	太守	    秦汉时代，皇帝把黄河以东的地区设置为河东郡，与河内郡对应。	1013	司州	平原
9004	河内	6005	9002	9005		1	10	30068	1800	40	"0,1"	2	1620	河内郡	5	36000	3	200000	MedianCity_Henei	LocalName_HeNei	CM_Henei	UI_GK_Shangyong.img	Border_Henei		0	TiaoMu_Henei	100	sw_Area_Henei	5|11|11|11	9|11|11|11	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	方悦	太守	    中国古以黄河以北为河内。战国时河内为魏国领地，秦末司马卯被项羽封为殷王，都城在河内。汉高祖即位时设置殷国，次年改名为河内郡，位于太行山东南与黄河以北。	1013	司州	城郭
9005	荥阳	9004	9006	9007		1	2	30069	1800	40	"0,1"	2	1620	河南尹	5	39000	1	200000	MedianCity_Xingyang	LocalName_XingYang	CM_Xingyang	UI_GK_Xingyang.img	Border_Xingyang		1	TiaoMu_Xingyang	200	sw_Area_Xingyang	7|11|11|11	9|11|11|11	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	王植	太守	    古有“两京襟带，三秦咽喉”之称的荥阳，在战国时代由韩国在荥水的北岸建城，因而得名。	1013	司州	城郭
9006	中牟	6008	7001	9005		1	2	30070	1800	40	"0,1"	2	1620	河南尹	5	42000	1	200000	MedianCity_Zhongmou	LocalName_ZhongMou	CM_Zhongmou	UI_GK_Puyang.img	Border_Zhongmou		0	TiaoMu_Zhongmou	100	sw_Area_Zhongmou	7|10|10|10	9|10|10|10	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	杨原	令	    中牟地处中原腹地，东临陈留，南压许昌，北濒黄河。演义中，曹操刺董失败后就在此处被陈宫捉到，后来陈宫感动曹操义举，释放曹操并准备和他一起回到家乡。	1013	司州	城郭
9007	洛阳	9005	9009			1	2	30071	2400	40	"0,1"	2	2220	河南尹	5	60000	5	100000	MedianCity_Luoyang	LocalName_LuoYang	CM_Luoyang	UI_GK_Shouchun.img	Border_Luoyang		2	TiaoMu_Luoyang	200	sw_Area_Luoyang	8|10|10|10	9|10|10|10	1|2|3|4	5	27856	6104|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	董卓	太守	    洛阳位于洛水之北，因此得名。它西靠秦岭，东临嵩岳，被依王屋山，又占黄河之险，南望伏牛山，因此得“河山拱戴，形胜甲于天下”之名。它是李朝历代诸侯群雄逐鹿中原的皇者必争之地。	1013	司州	平原
9008	弘农	9009	9010	10003	10004	1	2	30072	1800	40	"0,1"	2	1620	弘农郡	5	45000	4	125000	MedianCity_Hongnong	LocalName_HongNong	CM_Hongnong	UI_GK_Hongnong.img	Border_Hongnong		1	TiaoMu_Hongnong	200	sw_Area_Hongnong	8|9|9|9	8|9|9|9	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	令狐邵	太守	    西汉元鼎四年（前113年），汉武帝设立弘农郡，设郡治在秦国名关函谷关边，县名也是弘农。	1013	司州	山地
9009	函谷关	9008	9010	9007		0	2	40016	1800	40	"0,1"	1	1620	弘农郡	5	25000	1	200000	MedianCity_Hanguguan	LocalName_HanGuGuan	CM_Hanguguan	UI_GK_Tongguan.img	Border_Hanguguan		3	TiaoMu_Hanguguan	100	sw_Area_Hanguguan	8|9|9|9	8|9|9|9	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	击败敌方都尉	守住都尉	李利	都尉	"    函谷关西据高原，东临绝涧，南接秦岭，北塞黄河，是中国历史上建置最早的雄关要塞之一。这里也是是我国古代思想家、哲学家老子著述五千言《道德经》的地方,千百年来，众多海内外道家、道教人士都到这里朝圣祭祖。"	1015	京兆	山地
9010	渑池	9008	9009			1	2	30073	1800	40	"0,1"	2	1620	弘农郡	5	45000	2	200000	MedianCity_Mianchi	LocalName_MianChi	CM_Mianchi	UI_GK_Xingyang.img	Border_Mianchi		0	TiaoMu_Mianchi	100	sw_Area_Mianchi	8|9|9|9	8|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	贾逵	令	    渑池之名来源于古水池名，本名黾池，以池内注水生黾（一种水虫）而得名。蔺相如完璧归赵中秦国部分的故事，就发生在这里。	1015	京兆	城郭
10001	冯翊	10002				1	2	30074	1800	40	"0,1"	2	1620	冯翊郡	5	48000	3	200000	MedianCity_Pingyi	LocalName_PingYi	CM_Pingyi	UI_GK_Chenliu.img	Border_Pingyi		0	TiaoMu_Pingyi	100	sw_Area_Pingyi	8|8|8|8	8|8|8|8	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	宋翼	太守	    西汉武帝太初元年（公元前104年），始把关中分为京兆、左冯翊、右扶风三大板块，因地属畿辅。东汉末年左冯翊就被改置为冯翊郡	1015	京兆	平原
10002	长安	10001	10003	10006	11001	1	2	30075	2400	50	"0,1"	2	2220	京兆郡	5	75000	5	100000	MedianCity_Changan	LocalName_ChangAn	CM_Changan	UI_GK_Shouchun.img	Border_Changan		2	TiaoMu_Changan	400	sw_Area_Changan	7|7|7|7	7|7|7|7	1|2|3|4	5	27856	6104|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	李傕	太守	    长安作为周朝、秦朝和西汉的首都多年，意为“长治久安”，是著名的丝绸之路的起点。西汉末年一度毁于战火，直到董卓迁都西安，再一次给古城带来了勃勃生机。	1015	京兆	平原
10003	潼关	9008	10002	10004	9003	0	10	40017	1800	40	"0,1"	1	1620	京兆郡	5	25000	3	200000	MedianCity_Tongguan	LocalName_TongGuan	CM_Tongguan	UI_GK_Tongguan.img	Border_Tongguan		3	TiaoMu_Tongguan	100	sw_Area_Tongguan	6|8|8|8	8|8|8|8	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	击败敌方都尉	守住都尉	郭汜	都尉	    潼关北临黄河，南南踞山腰始建于东汉建安元年（196年）。潼关是关中的东大门，历来为兵家必争之地。	1015	京兆	山地
