将卡	神器Abstractid	组合名称	描述	备注	攻速	CD缩减	移动速度	护甲值	法术抗性	格挡几率	攻击力	生命值	暴击率	闪避率	攻城攻击力	攻击距离	命中率	穿透	法术穿透	潜行	反潜行	视野	无视闪避	反弹物伤	反弹法伤	物理吸血	法术吸血	暴击剑	溅射	物伤加深	法伤加深	abstractid	物伤加成	法伤加成	回复效果
|8784|8785|8786|8787|8788|8789|	|50113|	青釭剑	攻击+7%/n击杀单位则获得10点士气，且清除自身技能冷却时间	法正							70																					23391			
|9624|9625|9626|9627|9628|9629|	|50113|	青釭剑	攻击+7%/n自身血量低于35%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							70																					23021			
|10034|10035|10036|10037|10038|10039|	|50113|	青釭剑	生命+7%/n普通攻击有10%概率降低敌方15%生命上限，持续5秒	董卓								70																				23101			
|8014|8015|8016|8017|8018|8019|	|50114|	青釭剑	基础格挡+36%/n使用技能后提升周围4米范围内己方部队10%生命上限，持续5秒	曹仁						360																						23201			
|8144|8145|8146|8147|8148|8149|	|50114|	青釭剑	生命+7.5%/n自身血量低于35%时，若10米范围内敌方人数超出10人时，普通攻击提高自身40%攻击15%物理吸血，持续5秒	典韦								75																				23411			
|8534|8535|8536|8537|8538|8539|	|50114|	青釭剑	攻击+7.5%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身30%攻击，持续6秒	赵云							75																					23321			
|8784|8785|8786|8787|8788|8789|	|50114|	青釭剑	攻击+7.5%/n击杀单位则获得10点士气，且清除自身技能冷却时间	法正							75																					23391			
|9624|9625|9626|9627|9628|9629|	|50114|	青釭剑	攻击+7.5%/n自身血量低于35%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							75																					23021			
|10034|10035|10036|10037|10038|10039|	|50114|	青釭剑	生命+7.5%/n普通攻击有10%概率降低敌方15%生命上限，持续5秒	董卓								75																				23101			
|8014|8015|8016|8017|8018|8019|	|50115|	青釭剑	基础格挡+42%/n使用技能后提升周围4米范围内己方部队15%生命上限，持续5秒	曹仁						420																						23202			
|8144|8145|8146|8147|8148|8149|	|50115|	青釭剑	生命+8%/n自身血量低于40%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，持续5秒	典韦								80																				23412			
|8534|8535|8536|8537|8538|8539|	|50115|	青釭剑	攻击+8%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身40%攻击，持续7秒	赵云							80																					23322			
|8784|8785|8786|8787|8788|8789|	|50115|	青釭剑	攻击+8%/n击杀单位则获得15点士气，且清除自身技能冷却时间	法正							80																					23392			
|9624|9625|9626|9627|9628|9629|	|50115|	青釭剑	攻击+8%/n自身血量低于40%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							80																					23022			
|10034|10035|10036|10037|10038|10039|	|50115|	青釭剑	生命+8%/n普通攻击有15%概率降低敌方20%生命上限，持续5秒	董卓								80																				23102			
|8014|8015|8016|8017|8018|8019|	|50116|	青釭剑	基础格挡+44%/n使用技能后提升周围4米范围内己方部队15%生命上限，持续5秒	曹仁						440																						23202			
|8144|8145|8146|8147|8148|8149|	|50116|	青釭剑	生命+8.5%/n自身血量低于40%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，持续5秒	典韦								85																				23412			
|8534|8535|8536|8537|8538|8539|	|50116|	青釭剑	攻击+8.5%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身40%攻击，持续7秒	赵云							85																					23322			
|8784|8785|8786|8787|8788|8789|	|50116|	青釭剑	攻击+8.5%/n击杀单位则获得15点士气，且清除自身技能冷却时间	法正							85																					23392			
|9624|9625|9626|9627|9628|9629|	|50116|	青釭剑	攻击+8.5%/n自身血量低于40%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							85																					23022			
|10034|10035|10036|10037|10038|10039|	|50116|	青釭剑	生命+8.5%/n普通攻击有15%概率降低敌方20%生命上限，持续5秒	董卓								85																				23102			
|8014|8015|8016|8017|8018|8019|	|50117|	青釭剑	基础格挡+46%/n使用技能后提升周围4米范围内己方部队15%生命上限，持续5秒	曹仁						460																						23202			
|8144|8145|8146|8147|8148|8149|	|50117|	青釭剑	生命+9%/n自身血量低于40%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，持续5秒	典韦								90																				23412			
|8534|8535|8536|8537|8538|8539|	|50117|	青釭剑	攻击+9%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身40%攻击，持续7秒	赵云							90																					23322			
|8784|8785|8786|8787|8788|8789|	|50117|	青釭剑	攻击+9%/n击杀单位则获得15点士气，且清除自身技能冷却时间	法正							90																					23392			
|9624|9625|9626|9627|9628|9629|	|50117|	青釭剑	攻击+9%/n自身血量低于40%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							90																					23022			
|10034|10035|10036|10037|10038|10039|	|50117|	青釭剑	生命+9%/n普通攻击有15%概率降低敌方20%生命上限，持续5秒	董卓								90																				23102			
|8014|8015|8016|8017|8018|8019|	|50118|	青釭剑	基础格挡+48%/n使用技能后提升周围4米范围内己方部队15%生命上限，持续5秒	曹仁						480																						23202			
|8144|8145|8146|8147|8148|8149|	|50118|	青釭剑	生命+9.5%/n自身血量低于40%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，持续5秒	典韦								95																				23412			
|8534|8535|8536|8537|8538|8539|	|50118|	青釭剑	攻击+9.5%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身40%攻击，持续7秒	赵云							95																					23322			
|8784|8785|8786|8787|8788|8789|	|50118|	青釭剑	攻击+9.5%/n击杀单位则获得15点士气，且清除自身技能冷却时间	法正							95																					23392			
|9624|9625|9626|9627|9628|9629|	|50118|	青釭剑	攻击+9.5%/n自身血量低于40%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							95																					23022			
|10034|10035|10036|10037|10038|10039|	|50118|	青釭剑	生命+9.5%/n普通攻击有15%概率降低敌方20%生命上限，持续5秒	董卓								95																				23102			
|8014|8015|8016|8017|8018|8019|	|50119|	青釭剑	基础格挡+50%/n使用技能后提升周围4米范围内己方部队15%生命上限，持续5秒	曹仁						500																						23202			
|8144|8145|8146|8147|8148|8149|	|50119|	青釭剑	生命+10%/n自身血量低于40%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，持续5秒	典韦								100																				23412			
|8534|8535|8536|8537|8538|8539|	|50119|	青釭剑	攻击+10%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身40%攻击，持续7秒	赵云							100																					23322			
|8784|8785|8786|8787|8788|8789|	|50119|	青釭剑	攻击+10%/n击杀单位则获得15点士气，且清除自身技能冷却时间	法正							100																					23392			
|9624|9625|9626|9627|9628|9629|	|50119|	青釭剑	攻击+10%/n自身血量低于40%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							100																					23022			
|10034|10035|10036|10037|10038|10039|	|50119|	青釭剑	生命+10%/n普通攻击有15%概率降低敌方20%生命上限，持续5秒	董卓								100																				23102			
|8014|8015|8016|8017|8018|8019|	|50120|	青釭剑	基础格挡+56%/n使用技能后提升周围4米范围内己方部队20%生命上限，持续5秒	曹仁						560																						23203			
|8144|8145|8146|8147|8148|8149|	|50120|	青釭剑	生命+10.5%/n自身血量低于45%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，若5米范围内敌方人数超出10人，普通攻击提高自身80%攻击30%物理吸血，持续5秒	典韦								105																				23413			
|8534|8535|8536|8537|8538|8539|	|50120|	青釭剑	攻击+10.5%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身50%攻击，持续8秒	赵云							105																					23323			
|8784|8785|8786|8787|8788|8789|	|50120|	青釭剑	攻击+10.5%/n击杀单位则获得20点士气，且清除自身技能冷却时间	法正							105																					23393			
|9624|9625|9626|9627|9628|9629|	|50120|	青釭剑	攻击+10.5%/n自身血量低于45%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							105																					23023			
|10034|10035|10036|10037|10038|10039|	|50120|	青釭剑	生命+10.5%/n普通攻击有20%概率降低敌方25%生命上限，持续5秒	董卓								105																				23103			
|8014|8015|8016|8017|8018|8019|	|50121|	青釭剑	基础格挡+58%/n使用技能后提升周围4米范围内己方部队20%生命上限，持续5秒	曹仁						580																						23203			
|8144|8145|8146|8147|8148|8149|	|50121|	青釭剑	生命+11%/n自身血量低于45%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，若5米范围内敌方人数超出10人，普通攻击提高自身80%攻击30%物理吸血，持续5秒	典韦								110																				23413			
|8534|8535|8536|8537|8538|8539|	|50121|	青釭剑	攻击+11%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身50%攻击，持续8秒	赵云							110																					23323			
|8784|8785|8786|8787|8788|8789|	|50121|	青釭剑	攻击+11%/n击杀单位则获得20点士气，且清除自身技能冷却时间	法正							110																					23393			
|9624|9625|9626|9627|9628|9629|	|50121|	青釭剑	攻击+11%/n自身血量低于45%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							110																					23023			
|10034|10035|10036|10037|10038|10039|	|50121|	青釭剑	生命+11%/n普通攻击有20%概率降低敌方25%生命上限，持续5秒	董卓								110																				23103			
|8014|8015|8016|8017|8018|8019|	|50122|	青釭剑	基础格挡+60%/n使用技能后提升周围4米范围内己方部队20%生命上限，持续5秒	曹仁						600																						23203			
|8144|8145|8146|8147|8148|8149|	|50122|	青釭剑	生命+11.5%/n自身血量低于45%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，若5米范围内敌方人数超出10人，普通攻击提高自身80%攻击30%物理吸血，持续5秒	典韦								115																				23413			
|8534|8535|8536|8537|8538|8539|	|50122|	青釭剑	攻击+11.5%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身50%攻击，持续8秒	赵云							115																					23323			
|8784|8785|8786|8787|8788|8789|	|50122|	青釭剑	攻击+11.5%/n击杀单位则获得20点士气，且清除自身技能冷却时间	法正							115																					23393			
|9624|9625|9626|9627|9628|9629|	|50122|	青釭剑	攻击+11.5%/n自身血量低于45%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							115																					23023			
|10034|10035|10036|10037|10038|10039|	|50122|	青釭剑	生命+11.5%/n普通攻击有20%概率降低敌方25%生命上限，持续5秒	董卓								115																				23103			
|8014|8015|8016|8017|8018|8019|	|50123|	青釭剑	基础格挡+62%/n使用技能后提升周围4米范围内己方部队20%生命上限，持续5秒	曹仁						620																						23203			
|8144|8145|8146|8147|8148|8149|	|50123|	青釭剑	生命+12%/n自身血量低于45%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，若5米范围内敌方人数超出10人，普通攻击提高自身80%攻击30%物理吸血，持续5秒	典韦								120																				23413			
|8534|8535|8536|8537|8538|8539|	|50123|	青釭剑	攻击+12%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身50%攻击，持续8秒	赵云							120																					23323			
|8784|8785|8786|8787|8788|8789|	|50123|	青釭剑	攻击+12%/n击杀单位则获得20点士气，且清除自身技能冷却时间	法正							120																					23393			
|9624|9625|9626|9627|9628|9629|	|50123|	青釭剑	攻击+12%/n自身血量低于45%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							120																					23023			
|10034|10035|10036|10037|10038|10039|	|50123|	青釭剑	生命+12%/n普通攻击有20%概率降低敌方25%生命上限，持续5秒	董卓								120																				23103			
|8014|8015|8016|8017|8018|8019|	|50124|	青釭剑	基础格挡+64%/n使用技能后提升周围4米范围内己方部队20%生命上限，持续5秒	曹仁						640																						23203			
|8144|8145|8146|8147|8148|8149|	|50124|	青釭剑	生命+12.5%/n自身血量低于45%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，若5米范围内敌方人数超出10人，普通攻击提高自身80%攻击30%物理吸血，持续5秒	典韦								125																				23413			
|8534|8535|8536|8537|8538|8539|	|50124|	青釭剑	攻击+12.5%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身50%攻击，持续8秒	赵云							125																					23323			
|8784|8785|8786|8787|8788|8789|	|50124|	青釭剑	攻击+12.5%/n击杀单位则获得20点士气，且清除自身技能冷却时间	法正							125																					23393			
|9624|9625|9626|9627|9628|9629|	|50124|	青釭剑	攻击+12.5%/n自身血量低于45%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							125																					23023			
|10034|10035|10036|10037|10038|10039|	|50124|	青釭剑	生命+12.5%/n普通攻击有20%概率降低敌方25%生命上限，持续5秒	董卓								125																				23103			
|8014|8015|8016|8017|8018|8019|	|50125|	青釭剑	基础格挡+70%/n使用技能后提升周围4米范围内己方部队25%生命上限，持续5秒	曹仁						700																						23204			
|8144|8145|8146|8147|8148|8149|	|50125|	青釭剑	生命+13%/n自身血量低于50%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，若5米范围内敌方人数超出10人，普通攻击提高自身90%攻击35%物理吸血，持续5秒	典韦								130																				23414			
|8534|8535|8536|8537|8538|8539|	|50125|	青釭剑	攻击+13%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身60%攻击，持续9秒	赵云							130																					23324			
|8784|8785|8786|8787|8788|8789|	|50125|	青釭剑	攻击+13%/n击杀单位则获得25点士气，且清除自身技能冷却时间	法正							130																					23394			
|9624|9625|9626|9627|9628|9629|	|50125|	青釭剑	攻击+13%/n自身血量低于50%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							130																					23024			
|10034|10035|10036|10037|10038|10039|	|50125|	青釭剑	生命+13%/n普通攻击有25%概率降低敌方30%生命上限，持续5秒	董卓								130																				23104			
|8014|8015|8016|8017|8018|8019|	|50126|	青釭剑	基础格挡+72%/n使用技能后提升周围4米范围内己方部队25%生命上限，持续5秒	曹仁						720																						23204			
|8144|8145|8146|8147|8148|8149|	|50126|	青釭剑	生命+13.5%/n自身血量低于50%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，若5米范围内敌方人数超出10人，普通攻击提高自身90%攻击35%物理吸血，持续5秒	典韦								135																				23414			
|8534|8535|8536|8537|8538|8539|	|50126|	青釭剑	攻击+13.5%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身60%攻击，持续9秒	赵云							135																					23324			
|8784|8785|8786|8787|8788|8789|	|50126|	青釭剑	攻击+13.5%/n击杀单位则获得25点士气，且清除自身技能冷却时间	法正							135																					23394			
|9624|9625|9626|9627|9628|9629|	|50126|	青釭剑	攻击+13.5%/n自身血量低于50%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							135																					23024			
|10034|10035|10036|10037|10038|10039|	|50126|	青釭剑	生命+13.5%/n普通攻击有25%概率降低敌方30%生命上限，持续5秒	董卓								135																				23104			
|8014|8015|8016|8017|8018|8019|	|50127|	青釭剑	基础格挡+74%/n使用技能后提升周围4米范围内己方部队25%生命上限，持续5秒	曹仁						740																						23204			
|8144|8145|8146|8147|8148|8149|	|50127|	青釭剑	生命+14%/n自身血量低于50%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，若5米范围内敌方人数超出10人，普通攻击提高自身90%攻击35%物理吸血，持续5秒	典韦								140																				23414			
|8534|8535|8536|8537|8538|8539|	|50127|	青釭剑	攻击+14%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身60%攻击，持续9秒	赵云							140																					23324			
|8784|8785|8786|8787|8788|8789|	|50127|	青釭剑	攻击+14%/n击杀单位则获得25点士气，且清除自身技能冷却时间	法正							140																					23394			
|9624|9625|9626|9627|9628|9629|	|50127|	青釭剑	攻击+14%/n自身血量低于50%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							140																					23024			
|10034|10035|10036|10037|10038|10039|	|50127|	青釭剑	生命+14%/n普通攻击有25%概率降低敌方30%生命上限，持续5秒	董卓								140																				23104			
|8014|8015|8016|8017|8018|8019|	|50128|	青釭剑	基础格挡+76%/n使用技能后提升周围4米范围内己方部队25%生命上限，持续5秒	曹仁						760																						23204			
|8144|8145|8146|8147|8148|8149|	|50128|	青釭剑	生命+14.5%/n自身血量低于50%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，若5米范围内敌方人数超出10人，普通攻击提高自身90%攻击35%物理吸血，持续5秒	典韦								145																				23414			
|8534|8535|8536|8537|8538|8539|	|50128|	青釭剑	攻击+14.5%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身60%攻击，持续9秒	赵云							145																					23324			
|8784|8785|8786|8787|8788|8789|	|50128|	青釭剑	攻击+14.5%/n击杀单位则获得25点士气，且清除自身技能冷却时间	法正							145																					23394			
|9624|9625|9626|9627|9628|9629|	|50128|	青釭剑	攻击+14.5%/n自身血量低于50%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							145																					23024			
|10034|10035|10036|10037|10038|10039|	|50128|	青釭剑	生命+14.5%/n普通攻击有25%概率降低敌方30%生命上限，持续5秒	董卓								145																				23104			
|8014|8015|8016|8017|8018|8019|	|50129|	青釭剑	基础格挡+78%/n使用技能后提升周围4米范围内己方部队25%生命上限，持续5秒	曹仁						780																						23204			
|8144|8145|8146|8147|8148|8149|	|50129|	青釭剑	生命+15%/n自身血量低于50%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，若5米范围内敌方人数超出10人，普通攻击提高自身90%攻击35%物理吸血，持续5秒	典韦								150																				23414			
|8534|8535|8536|8537|8538|8539|	|50129|	青釭剑	攻击+15%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身60%攻击，持续9秒	赵云							150																					23324			
|8784|8785|8786|8787|8788|8789|	|50129|	青釭剑	攻击+15%/n击杀单位则获得25点士气，且清除自身技能冷却时间	法正							150																					23394			
|9624|9625|9626|9627|9628|9629|	|50129|	青釭剑	攻击+15%/n自身血量低于50%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							150																					23024			
|10034|10035|10036|10037|10038|10039|	|50129|	青釭剑	生命+15%/n普通攻击有25%概率降低敌方30%生命上限，持续5秒	董卓								150																				23104			
|8014|8015|8016|8017|8018|8019|	|50130|	青釭剑	基础格挡+84%/n使用技能后提升周围4米范围内己方部队30%生命上限，持续5秒	曹仁						840																						23205			
|8144|8145|8146|8147|8148|8149|	|50130|	青釭剑	生命+15.5%/n自身血量低于55%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，持续5秒，若5米范围内敌方人数超出10人，普通攻击提高自身100%攻击40%物理吸血，持续6秒	典韦								155																				23415			
|8534|8535|8536|8537|8538|8539|	|50130|	青釭剑	攻击+15.5%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身70%攻击，持续10秒	赵云							155																					23325			
|8784|8785|8786|8787|8788|8789|	|50130|	青釭剑	攻击+15.5%/n击杀单位则获得30点士气，且清除自身技能冷却时间	法正							155																					23395			
|9624|9625|9626|9627|9628|9629|	|50130|	青釭剑	攻击+15.5%/n自身血量低于55%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							155																					23025			
|10034|10035|10036|10037|10038|10039|	|50130|	青釭剑	生命+15.5%/n普通攻击有30%概率降低敌方35%生命上限，持续5秒	董卓								155																				23105			
|8014|8015|8016|8017|8018|8019|	|50131|	青釭剑	基础格挡+86%/n使用技能后提升周围4米范围内己方部队30%生命上限，持续5秒	曹仁						860																						23205			
|8144|8145|8146|8147|8148|8149|	|50131|	青釭剑	生命+16%/n自身血量低于55%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，持续5秒，若5米范围内敌方人数超出10人，普通攻击提高自身100%攻击40%物理吸血，持续6秒	典韦								160																				23415			
|8534|8535|8536|8537|8538|8539|	|50131|	青釭剑	攻击+16%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身70%攻击，持续10秒	赵云							160																					23325			
|8784|8785|8786|8787|8788|8789|	|50131|	青釭剑	攻击+16%/n击杀单位则获得30点士气，且清除自身技能冷却时间	法正							160																					23395			
|9624|9625|9626|9627|9628|9629|	|50131|	青釭剑	攻击+16%/n自身血量低于55%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							160																					23025			
|10034|10035|10036|10037|10038|10039|	|50131|	青釭剑	生命+16%/n普通攻击有30%概率降低敌方35%生命上限，持续5秒	董卓								160																				23105			
|8014|8015|8016|8017|8018|8019|	|50132|	青釭剑	基础格挡+88%/n使用技能后提升周围4米范围内己方部队30%生命上限，持续5秒	曹仁						880																						23205			
|8144|8145|8146|8147|8148|8149|	|50132|	青釭剑	生命+16.5%/n自身血量低于55%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，持续5秒，若5米范围内敌方人数超出10人，普通攻击提高自身100%攻击40%物理吸血，持续6秒	典韦								165																				23415			
|8534|8535|8536|8537|8538|8539|	|50132|	青釭剑	攻击+16.5%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身70%攻击，持续10秒	赵云							165																					23325			
|8784|8785|8786|8787|8788|8789|	|50132|	青釭剑	攻击+16.5%/n击杀单位则获得30点士气，且清除自身技能冷却时间	法正							165																					23395			
|9624|9625|9626|9627|9628|9629|	|50132|	青釭剑	攻击+16.5%/n自身血量低于55%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							165																					23025			
|10034|10035|10036|10037|10038|10039|	|50132|	青釭剑	生命+16.5%/n普通攻击有30%概率降低敌方35%生命上限，持续5秒	董卓								165																				23105			
|8014|8015|8016|8017|8018|8019|	|50133|	青釭剑	基础格挡+90%/n使用技能后提升周围4米范围内己方部队30%生命上限，持续5秒	曹仁						900																						23205			
|8144|8145|8146|8147|8148|8149|	|50133|	青釭剑	生命+17%/n自身血量低于55%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，持续5秒，若5米范围内敌方人数超出10人，普通攻击提高自身100%攻击40%物理吸血，持续6秒	典韦								170																				23415			
|8534|8535|8536|8537|8538|8539|	|50133|	青釭剑	攻击+17%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身70%攻击，持续10秒	赵云							170																					23325			
|8784|8785|8786|8787|8788|8789|	|50133|	青釭剑	攻击+17%/n击杀单位则获得30点士气，且清除自身技能冷却时间	法正							170																					23395			
|9624|9625|9626|9627|9628|9629|	|50133|	青釭剑	攻击+17%/n自身血量低于55%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							170																					23025			
|10034|10035|10036|10037|10038|10039|	|50133|	青釭剑	生命+17%/n普通攻击有30%概率降低敌方35%生命上限，持续5秒	董卓								170																				23105			
|8014|8015|8016|8017|8018|8019|	|50134|	青釭剑	基础格挡+92%/n使用技能后提升周围4米范围内己方部队30%生命上限，持续5秒	曹仁						920																						23205			
|8144|8145|8146|8147|8148|8149|	|50134|	青釭剑	生命+17.5%/n自身血量低于55%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，持续5秒，若5米范围内敌方人数超出10人，普通攻击提高自身100%攻击40%物理吸血，持续6秒	典韦								175																				23415			
|8534|8535|8536|8537|8538|8539|	|50134|	青釭剑	攻击+17.5%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身70%攻击，持续10秒	赵云							175																					23325			
|8784|8785|8786|8787|8788|8789|	|50134|	青釭剑	攻击+17.5%/n击杀单位则获得30点士气，且清除自身技能冷却时间	法正							175																					23395			
|9624|9625|9626|9627|9628|9629|	|50134|	青釭剑	攻击+17.5%/n自身血量低于55%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							175																					23025			
|10034|10035|10036|10037|10038|10039|	|50134|	青釭剑	生命+17.5%/n普通攻击有30%概率降低敌方35%生命上限，持续5秒	董卓								175																				23105			
|8014|8015|8016|8017|8018|8019|	|50135|	青釭剑	基础格挡+100%/n使用技能后提升周围4米范围内己方部队35%生命上限，持续5秒	曹仁						1000																						23206			
|8144|8145|8146|8147|8148|8149|	|50135|	青釭剑	生命+18%/n自身血量低于60%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，持续5秒，若5米范围内敌方人数超出10人，普通攻击提高自身110%攻击45%物理吸血，持续7秒	典韦								180																				23416			
|8534|8535|8536|8537|8538|8539|	|50135|	青釭剑	攻击+18%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身80%攻击，持续11秒	赵云							180																					23326			
|8784|8785|8786|8787|8788|8789|	|50135|	青釭剑	攻击+18%/n击杀单位则获得35点士气，且清除自身技能冷却时间	法正							180																					23396			
|9624|9625|9626|9627|9628|9629|	|50135|	青釭剑	攻击+18%/n自身血量低于60%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							180																					23026			
|10034|10035|10036|10037|10038|10039|	|50135|	青釭剑	生命+18%/n普通攻击有35%概率降低敌方40%生命上限，持续5秒	董卓								180																				23106			
|8014|8015|8016|8017|8018|8019|	|50136|	青釭剑	基础格挡+105%/n使用技能后提升周围4米范围内己方部队35%生命上限，持续5秒	曹仁						1050																						23206			
|8144|8145|8146|8147|8148|8149|	|50136|	青釭剑	生命+18.5%/n自身血量低于60%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，持续5秒，若5米范围内敌方人数超出10人，普通攻击提高自身110%攻击45%物理吸血，持续7秒	典韦								185																				23416			
|8534|8535|8536|8537|8538|8539|	|50136|	青釭剑	攻击+18.5%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身80%攻击，持续11秒	赵云							185																					23326			
|8784|8785|8786|8787|8788|8789|	|50136|	青釭剑	攻击+18.5%/n击杀单位则获得35点士气，且清除自身技能冷却时间	法正							185																					23396			
|9624|9625|9626|9627|9628|9629|	|50136|	青釭剑	攻击+18.5%/n自身血量低于60%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							185																					23026			
|10034|10035|10036|10037|10038|10039|	|50136|	青釭剑	生命+18.5%/n普通攻击有35%概率降低敌方40%生命上限，持续5秒	董卓								185																				23106			
|8014|8015|8016|8017|8018|8019|	|50137|	青釭剑	基础格挡+110%/n使用技能后提升周围4米范围内己方部队35%生命上限，持续5秒	曹仁						1100																						23206			
|8144|8145|8146|8147|8148|8149|	|50137|	青釭剑	生命+19%/n自身血量低于60%时，若10米范围内敌方人数超出10人时，普通攻击提高自身50%攻击20%物理吸血，持续5秒，若5米范围内敌方人数超出10人，普通攻击提高自身110%攻击45%物理吸血，持续7秒	典韦								190																				23416			
|8534|8535|8536|8537|8538|8539|	|50137|	青釭剑	攻击+19%/n处于缴械或定身状态时，释放技能清除自身所有不利效果，且提高自身80%攻击，持续11秒	赵云							190																					23326			
|8784|8785|8786|8787|8788|8789|	|50137|	青釭剑	攻击+19%/n击杀单位则获得35点士气，且清除自身技能冷却时间	法正							190																					23396			
|9624|9625|9626|9627|9628|9629|	|50137|	青釭剑	攻击+19%/n自身血量低于60%，获得100%普通攻击加成，持续5秒，该效果15秒内只能触发一次	周泰							190																					23026			
|10034|10035|10036|10037|10038|10039|	|50137|	青釭剑	生命+19%/n普通攻击有35%概率降低敌方40%生命上限，持续5秒	董卓								190																				23106			
|8014|8015|8016|8017|8018|8019|	|50138|	青釭剑	基础格挡+120%/n使用技能后提升周围4米范围内己方部队35%生命上限，持续5秒	曹仁						1200																						23206			
