itemid	掉落种数	掉落类型	dropid	掉落几率	数量										
6802	4	10	7552	100	1|1										
6803	4	10	6804	100	1|1										
6803	4	10	6072	100	5|5										
6803	4	10	7520	100	1|1										
6803	4	10	7521	100	1|1										
6804	4	10	6805	100	1|1										
6804	4	10	7552	100	2|2										
6804	4	10	6773	100	1|1										
6804	4	10	6049	100	2|2										
6805	5	10	6806	100	1|1										
6805	5	10	4200	100	2|2										
6805	5	10	4201	100	1|1										
6805	5	10	4202	100	1|1										
6805	5	10	6049	100	2|2										
6806	3	10	6807	100	1|1										
6806	3	10	7203	100	4|4										
6806	3	10	6049	100	4|4										
6807	3	10	6049	100	10|10										
6807	3	10	7520	100	5|5										
6807	3	10	7521	100	5|5										
6808	4	1		100	500000|500000										
6808	4	2		100	500000|500000										
6808	4	3		100	500000|500000										
6808	4	4		100	500000|500000										
6809	4	1		100	600000|600000										
6809	4	2		100	600000|600000										
6809	4	3		100	600000|600000										
6809	4	4		100	600000|600000										
6810	4	1		100	700000|700000										
6810	4	2		100	700000|700000										
6810	4	3		100	700000|700000										
6810	4	4		100	700000|700000										
6811	4	1		100	800000|800000										
6811	4	2		100	800000|800000										
6811	4	3		100	800000|800000										
6811	4	4		100	800000|800000										
6812	4	1		100	900000|900000										
6812	4	2		100	900000|900000										
6812	4	3		100	900000|900000										
6812	4	4		100	900000|900000										
6813	4	1		100	1000000|1000000										
6813	4	2		100	1000000|1000000										
6813	4	3		100	1000000|1000000										
6813	4	4		100	1000000|1000000										
6814	1	10	7549	8229	1|1										
6814	1	10	6081	20	1|1										
6814	1	10	7770	1000	2|2										
6814	1	10	6773	500	1|1										
6814	1	10	6774	50	1|1										
6814	1	10	6700	200	1|1										
6814	1	10	6126	1	1|1										
6815	1	10	6099	8229	1|1										
6815	1	10	6081	20	1|1										
6815	1	10	7770	1000	2|2										
6815	1	10	6773	500	1|1										
6815	1	10	6774	50	1|1										
6815	1	10	6700	200	1|1										
6815	1	10	6126	1	1|1										
6816	1	5		8229	2000|2000										
6816	1	10	6081	20	1|1										
6816	1	10	7770	1000	2|2										
6816	1	10	6773	500	1|1										
6816	1	10	6774	50	1|1										
6816	1	10	6700	200	1|1										
6816	1	10	6126	1	1|1										
6817	1	10	6072	8229	1|1										
6817	1	10	6081	20	1|1										
6817	1	10	7770	1000	2|2										
6817	1	10	6773	500	1|1										
6817	1	10	6774	50	1|1										
6817	1	10	6700	200	1|1										
6817	1	10	6126	1	1|1										
6144	3	10	4200	2	5|5										
6144	3	10	4201	2	5|5										
6144	3	10	4202	2	10|10										
6145	3	10	4200	2	20|20										
6145	3	10	4201	2	20|20										
6145	3	10	4203	2	20|20										
6146	3	10	4200	2	80|80										
6146	3	10	4201	2	80|80										
6146	3	10	4204	2	50|50										
6147	10	10	6797	2	10|10										
6147	10	10	7514	2	1|1										
6147	10	10	6813	2	20|20										
6147	10	10	6119	2	20|20										
6147	10	10	7203	2	400|400										
6147	10	10	6091	2	20|20										
6147	10	10	6075	2	10|10										
6147	10	10	3421	2	20|20										
6147	10	10	3421	2	20|20										
6147	10	10	3421	2	20|20										
6148	11	10	7553	2	20|20										
6148	11	10	7552	2	20|20										
6148	11	10	7551	2	20|20										
6148	11	10	6111	2	20|20										
6148	11	10	7694	2	20|20										
6148	11	10	7689	2	20|20										
6148	11	10	7684	2	20|20										
6148	11	10	7729	2	20|20										
6148	11	10	7659	2	20|20										
6148	11	10	7769	2	20|20										
6148	11	10	7629	2	20|20										
6149	13	10	6089	2	20|20										
6149	13	10	6093	2	20|20										
6149	13	10	6130	2	20|20										
6149	13	10	6131	2	20|20										
6149	13	10	6137	2	20|20										
6149	13	10	7520	2	20|20										
6149	13	10	7521	2	20|20										
6149	13	10	7523	2	20|20										
6149	13	10	2131	2	1|1										
6149	13	10	2132	2	1|1										
6149	13	10	2133	2	1|1										
6149	13	10	2134	2	1|1										
6149	13	10	2135	2	1|1										
6120	1	28		100	10000|10000										
6121	1	28		100	50000|50000										
6122	1	28		100	100000|100000										
6123	1	28		100	200000|200000										
6124	1	12		100	5000|5000										
6125	1	12		100	10000|10000										
6127	1	30		100	5000|5000										
6128	1	30		100	500|500										
7528	4	10	7551	100	1|1										
7528	4	10	7631	100	2|2										
7528	4	10	7200	100	2|2										
7528	4	10	7554	100	1|1										
7529	4	10	7551	100	1|1										
7529	4	10	7601	100	2|2										
7529	4	10	6815	100	2|2										
7529	4	10	7554	100	1|1										
7530	4	10	7551	100	2|2										
7530	4	10	7636	100	1|1										
7530	4	10	7200	100	3|3										
7530	4	10	6815	100	3|3										
7531	4	10	7551	100	2|2										
7531	4	10	7521	100	1|1										
7531	4	10	7200	100	3|3										
7531	4	10	7606	100	2|2										
6216	1	10	10215	100	1|1										
6217	1	10	10284	100	1|1										
6220	1	10	10325	100	1|1										
6221	1	10	10175	100	1|1										
6818	1	8		50	58|58										
6818	1	8		50	88|88										
6819	1	8		10	58|58										
6819	1	8		90	588|588										
6820	1	8		997	58|58										
6820	1	8		3	1888|1888										
6821	1	8		9998	58|58										
6821	1	8		2	5888|5888										
6822	2	8		10	38|38										
6822	2	10	6823	10	1|1										
6823	2	8		10	108|108										
6823	2	10	6824	10	1|1										
6824	2	8		10	588|588										
6824	2	10	6825	10	1|1										
6825	2	8		10	1088|1088										
6825	2	10	6826	10	1|1										
6826	1	8		10	1888|1888										
7328	8	10	6785	100	1|1										
7328	8	10	7524	100	1|1										
7328	8	10	7526	100	1|1										
7328	8	10	7520	100	1|1										
7328	8	10	7521	100	1|1										
7328	8	10	7522	100	1|1										
7328	8	10	7527	100	5|5										
7328	8	10	7554	100	1|1										
7329	8	10	6785	100	2|2										
7329	8	10	7525	100	1|1										
7329	8	10	7526	100	1|1										
7329	8	10	7520	100	1|1										
7329	8	10	7521	100	1|1										
7329	8	10	7522	100	1|1										
7329	8	10	7527	100	5|5										
7329	8	10	7554	100	2|2										
7330	8	10	6786	100	1|1										
7330	8	10	7524	100	1|1										
7330	8	10	7526	100	1|1										
7330	8	10	7520	100	1|1										
7330	8	10	7521	100	1|1										
7330	8	10	7522	100	1|1										
7330	8	10	7527	100	5|5										
7330	8	10	7554	100	3|3										
7331	8	10	6786	100	2|2										
7331	8	10	7525	100	1|1										
7331	8	10	7526	100	1|1										
7331	8	10	7520	100	1|1										
7331	8	10	7521	100	1|1										
7331	8	10	7522	100	1|1										
7331	8	10	7527	100	10|10										
7331	8	10	7554	100	4|4										
7332	8	10	6786	100	3|3										
7332	8	10	7524	100	1|1										
7332	8	10	7526	100	1|1										
7332	8	10	7520	100	1|1										
7332	8	10	7521	100	1|1										
7332	8	10	7522	100	1|1										
7332	8	10	7527	100	10|10										
7332	8	10	7554	100	5|5										
7333	8	10	6788	100	1|1										
7333	8	10	7525	100	1|1										
7333	8	10	7526	100	1|1										
7333	8	10	7520	100	1|1										
7333	8	10	7521	100	1|1										
7333	8	10	7522	100	1|1										
7333	8	10	7527	100	20|20										
7333	8	10	7554	100	5|5										
7334	8	10	6787	100	3|3										
7334	8	10	7524	100	1|1										
7334	8	10	7526	100	1|1										
7334	8	10	7520	100	1|1										
7334	8	10	7521	100	1|1										
7334	8	10	7522	100	1|1										
7334	8	10	7527	100	20|20										
7334	8	10	7554	100	5|5										
7335	9	10	6788	100	2|2										
7335	9	10	7525	100	1|1										
7335	9	10	7526	100	1|1										
7335	9	10	7520	100	1|1										
7335	9	10	7521	100	1|1										
7335	9	10	7522	100	1|1										
7335	9	10	7527	100	20|20										
7335	9	10	7554	100	5|5										
7335	9	10	6137	100	1|1										
7336	9	10	6789	100	1|1										
7336	9	10	7524	100	1|1										
7336	9	10	7526	100	1|1										
7336	9	10	7520	100	1|1										
7336	9	10	7521	100	1|1										
7336	9	10	7522	100	1|1										
7336	9	10	7527	100	20|20										
7336	9	10	7554	100	5|5										
7336	9	10	6137	100	1|1										
7337	9	10	6788	100	4|4										
7337	9	10	7525	100	1|1										
7337	9	10	7526	100	1|1										
7337	9	10	7520	100	1|1										
7337	9	10	7521	100	1|1										
7337	9	10	7522	100	1|1										
7337	9	10	7527	100	20|20										
7337	9	10	7554	100	5|5										
7337	9	10	6137	100	1|1										
7338	8	10	6790	100	1|1										
7338	8	10	7526	100	1|1										
7338	8	10	7520	100	1|1										
7338	8	10	7521	100	1|1										
7338	8	10	7522	100	1|1										
7338	8	10	7527	100	20|20										
7338	8	10	7554	100	5|5										
7338	8	10	6137	100	1|1										
7339	8	10	6792	100	1|1										
7339	8	10	7526	100	1|1										
7339	8	10	7520	100	1|1										
7339	8	10	7521	100	1|1										
7339	8	10	7522	100	1|1										
7339	8	10	7527	100	20|20										
7338	8	10	7554	100	5|5										
7339	8	10	6137	100	1|1										
7340	8	10	6793	100	1|1										
7340	8	10	7526	100	1|1										
7340	8	10	7520	100	1|1										
7340	8	10	7521	100	1|1										
7340	8	10	7522	100	1|1										
7340	8	10	7527	100	20|20										
7340	8	10	7554	100	5|5										
7340	8	10	6137	100	1|1										
7341	8	10	6792	100	2|2										
7341	8	10	7526	100	1|1										
7341	8	10	7520	100	1|1										
7341	8	10	7521	100	1|1										
7341	8	10	7522	100	1|1										
7341	8	10	7527	100	20|20										
7341	8	10	7554	100	5|5										
7341	8	10	6137	100	1|1										
7342	8	10	6794	100	1|1										
7342	8	10	7526	100	1|1										
7342	8	10	7520	100	1|1										
7342	8	10	7521	100	1|1										
7342	8	10	7522	100	1|1										
7342	8	10	7527	100	20|20										
7342	8	10	7554	100	5|5										
7342	8	10	6137	100	1|1										
6827	1	10	7556	100	2|2										
6828	1	10	7556	100	5|5										
6829	1	10	7556	100	10|10										
6830	1	10	7556	100	15|15										
6831	1	10	7556	100	20|20										
6835	1	38		100	50000|50000										
6836	1	5		1000	500000|500000										
7557	4	6		100	15000|15000										
7557	4	10	7504	100	1|1										
7557	4	10	7639	100	80|80										
7557	4	10	7522	100	99|99										
7558	1	10	10212	300	1|1										
7558	1	10	10213	20	1|1										
7558	1	10	10214	2	1|1										
7558	1	10	10282	300	1|1										
7558	1	10	10283	20	1|1										
7558	1	10	10284	2	1|1										
7558	1	10	10292	300	1|1										
7558	1	10	10293	50	1|1										
7558	1	10	10294	6	1|1										
