id	vip0	vip1	vip2	vip3	vip4	vip5	vip6	vip7	vip8	vip9	vip10	vip11	vip12	vip13	vip14	vip15	TAB_VERSION
22206	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
22207	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
22300	100|200	100|200	100|200	100|200	100|200	100|200	100|200	100|200	100|200	100|200	100|200	100|200	100|200	100|200	100|200	100|200	
22309	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
22310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22333	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
22144	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	
22145	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	
20860	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	
22150	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
22350	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	
22352	1.0f|1.0f|1.0f|2.0f	1.0f|1.0f|1.0f|2.0f	1.0f|1.0f|1.0f|2.0f	1.0f|1.0f|1.0f|2.0f	1.0f|1.0f|1.0f|2.0f	1.0f|1.0f|1.0f|2.0f	1.0f|1.0f|1.0f|2.0f	1.0f|1.0f|1.0f|2.0f	1.0f|1.0f|1.0f|2.0f	1.0f|1.0f|1.0f|2.0f	1.0f|1.0f|1.0f|2.0f	1.0f|1.0f|1.0f|2.0f	1.0f|1.0f|1.0f|2.0f	1.0f|1.0f|1.0f|2.0f	1.0f|1.0f|1.0f|2.0f	1.0f|1.0f|1.0f|2.0f	
22354	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	
22355	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
22365	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	
22375	90|50|20|5|1	90|50|20|5|1	90|50|20|5|1	90|50|20|5|1	90|50|20|5|1	90|50|20|5|1	90|50|20|5|1	90|50|20|5|1	90|50|20|5|1	90|50|20|5|1	90|50|20|5|1	90|50|20|5|1	90|50|20|5|1	90|50|20|5|1	90|50|20|5|1	90|50|20|5|1	
22165	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	
22404	1000|1500	1000|1500	1000|1500	1000|1500	1000|1500	1000|1500	1000|1500	1000|1500	1000|1500	1000|1500	1000|1500	1000|1500	1000|1500	1000|1500	1000|1500	1000|1500	
22405	50|60	50|60	50|60	50|60	50|60	50|60	50|60	50|60	50|60	50|60	50|60	50|60	50|60	50|60	50|60	50|60	
22376	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
22377	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
22169	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	
22418	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	
22419	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
22420	259200	345600	432000	518400	604800	691200	777600	864000	950400	1036800	1123200	1209600	1296000	1382400	1468800	1555200	
20345	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
22378	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	
22421	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	
22422	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	
22424	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	
22606	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	
22607	0	3	5	7	9	11	13	15	17	19	21	23	25	27	29	31	
22724	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
22801	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	
22807	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
22810	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	
22814	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	
22816	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	
22817	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	
22818	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	
22821	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
22822	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
22823	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
22833	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	
22834	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	
22835	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	
22842	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	
22843	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	
22847	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	
22850	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
22851	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	
22855	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
22856	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
22865	2000|1500|1000|500|500	2000|1500|1000|500|500	2000|1500|1000|500|500	2000|1500|1000|500|500	2000|1500|1000|500|500	2000|1500|1000|500|500	2000|1500|1000|500|500	2000|1500|1000|500|500	2000|1500|1000|500|500	2000|1500|1000|500|500	2000|1500|1000|500|500	2000|1500|1000|500|500	2000|1500|1000|500|500	2000|1500|1000|500|500	2000|1500|1000|500|500	2000|1500|1000|500|500	
22868	0.25|1.5	0.25|1.5	0.25|1.5	0.25|1.5	0.25|1.5	0.25|1.5	0.25|1.5	0.25|1.5	0.25|1.5	0.25|1.5	0.25|1.5	0.25|1.5	0.25|1.5	0.25|1.5	0.25|1.5	0.25|1.5	
22870	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	
22871	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	
22879	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	
22909	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	
22910	4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	
22911	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	
22918	0	0	0	0	0	0	99	99	99	99	99	99	99	99	99	99	
22921	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
22922	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	
22634	1	1	1	2	2	3	3	4	4	5	5	6	6	7	7	8	
22736	14:00:00	14:00:00	14:00:00	14:00:00	14:00:00	14:00:00	14:00:00	14:00:00	14:00:00	14:00:00	14:00:00	14:00:00	14:00:00	14:00:00	14:00:00	14:00:00	
22737	19:30:00	19:30:00	19:30:00	19:30:00	19:30:00	19:30:00	19:30:00	19:30:00	19:30:00	19:30:00	19:30:00	19:30:00	19:30:00	19:30:00	19:30:00	19:30:00	
22740	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	
22741	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	
22924	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	
22925	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
22926	1999	1999	1999	1999	1999	1999	1999	1999	1999	1999	1999	1999	1999	1999	1999	1999	
22929	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	
22930	3010	3010	3010	3010	3010	3010	3010	3010	3010	3010	3010	3010	3010	3010	3010	3010	
22931	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
22932	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	
22663	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	
22682	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
22683	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	
20362	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	
20364	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
22687	2000	5000	10000														
20372	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	
22690	8																
23000	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	
23001	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	20:00:00	
20386	10	15	20	25	30	35	40	45	-1	-1	-1	-1	-1	-1	-1	-1	
20390	15																
20510	500	500	500	500	500	500	500	500	500	500	0	0	0	0	0	0	
20513	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0	
20514	70																
20515	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	
20520	21600																
20521	5																
23013	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	
23015	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	30	
23019	100																
23022	50																
23023	20																
23027	500|300|200|200|0.2|0.65|0.45|0.3																
23029	500																
